yahoo_ticker,bme_isin,mic,exchange,country
SAN.MC,ES0113900J37,XMAD,Bolsa de Madrid,Spain
BBVA.MC,ES0113211835,XMAD,Bolsa de Madrid,Spain
IBE.MC,ES0144580Y14,XMAD,Bolsa de Madrid,Spain
ITX.MC,ES0148396007,XMAD,Bolsa de Madrid,Spain
TEF.MC,ES0178430E18,XMAD,Bolsa de Madrid,Spain
REP.MC,ES0173516115,XMAD,Bolsa de Madrid,Spain
AENA.MC,ES0105046017,XMAD,Bolsa de Madrid,Spain
CABK.MC,ES0140609019,XMAD,Bolsa de Madrid,Spain
ELE.MC,ES0130670112,XMAD,Bolsa de Madrid,Spain
IAG.MC,ES0177542018,XMAD,Bolsa de Madrid,Spain
NTGY.MC,ES0116870314,XMAD,Bolsa de Madrid,Spain
FER.MC,NL0015001FS8,XMAD,Bolsa de Madrid,Spain
ACS.MC,ES0167050915,XMAD,Bolsa de Madrid,Spain
ANA.MC,ES0125220311,XMAD,Bolsa de Madrid,Spain
BKT.MC,ES0113679I37,XMAD,Bolsa de Madrid,Spain
CLNX.MC,ES0105066007,XMAD,Bolsa de Madrid,Spain
IDR.MC,ES0118594417,XMAD,Bolsa de Madrid,Spain
SAB.MC,ES0113860A34,XMAD,Bolsa de Madrid,Spain
AMS.MC,ES0109067019,XMAD,Bolsa de Madrid,Spain
