yahoo_ticker,euronext_id,isin,mic,exchange,country
AIR.PA,NL0000235190-XPAR,NL0000235190,XPAR,Euronext Paris,France
AI.PA,FR0000120073-XPAR,FR0000120073,XPAR,Euronext Paris,France
BNP.PA,FR0000131104-XPAR,FR0000131104,XPAR,Euronext Paris,France
MC.PA,FR0000121014-XPAR,FR0000121014,XPAR,Euronext Paris,France
OR.PA,FR0000120321-XPAR,FR0000120321,XPAR,Euronext Paris,France
SAF.PA,FR0000073272-XPAR,FR0000073272,XPAR,Euronext Paris,France
SU.PA,FR0000121972-XPAR,FR0000121972,XPAR,Euronext Paris,France
TTE.PA,FR0000120271-XPAR,FR0000120271,XPAR,Euronext Paris,France
ASML.AS,NL0010273215-XAMS,NL0010273215,XAMS,Euronext Amsterdam,Netherlands
INGA.AS,NL0011821202-XAMS,NL0011821202,XAMS,Euronext Amsterdam,Netherlands
MT.AS,LU1598757687-XAMS,LU1598757687,XAMS,Euronext Amsterdam,Luxembourg
ISP.MI,IT0000072618-MTAA,IT0000072618,MTAA,Borsa Italiana,Italy
UCG.MI,IT0005239360-MTAA,IT0005239360,MTAA,Borsa Italiana,Italy
