yahoo_ticker,xetra_isin,mic,exchange,country
ADS.DE,DE000A1EWWW0,ETR,Xetra,Germany
ALV.DE,DE0008404005,ETR,Xetra,Germany
BAS.DE,DE000BASF111,ETR,Xetra,Germany
BAYN.DE,DE000BAY0017,ETR,Xetra,Germany
BMW.DE,DE0005190003,ETR,Xetra,Germany
DB1.DE,DE0005810055,ETR,Xetra,Germany
DBK.DE,DE0005140008,ETR,Xetra,Germany
DHL.DE,DE0005552004,ETR,Xetra,Germany
DTE.DE,DE0005557508,ETR,Xetra,Germany
DTG.DE,DE000DTR0CK8,ETR,Xetra,Germany
ENR.DE,DE000ENER6Y0,ETR,Xetra,Germany
EOAN.DE,DE000ENAG999,ETR,Xetra,Germany
HEI.DE,DE0006047004,ETR,Xetra,Germany
MBG.DE,DE0007100000,ETR,Xetra,Germany
MUV2.DE,DE0008430026,ETR,Xetra,Germany
RHM.DE,DE0007030009,ETR,Xetra,Germany
RWE.DE,DE0007037129,ETR,Xetra,Germany
SAP.DE,DE0007164600,ETR,Xetra,Germany
SIE.DE,DE0007236101,ETR,Xetra,Germany
