isin,yahoo_ticker
ES0113900J37,SAN.MC
ES0113211835,BBVA.MC
ES0144580Y14,IBE.MC
ES0148396007,ITX.MC
ES0140609019,CABK.MC
NL0015001FS8,FER.MC
ES0105046017,AENA.MC
ES0167050915,ACS.MC
ES0173516115,REP.MC
ES0109067019,AMS.MC
ES0177542018,IAG.MC
ES0178430E18,TEF.MC
ES0105066007,CLNX.MC
ES0130670112,ELE.MC
ES0113860A34,SAB.MC
ES0116870314,NTGY.MC
ES0113679I37,BKT.MC
ES0118594417,IDR.MC
LU1598757687,MT.AS
ES0125220311,ANA.MC
ES0105025003,MRL.MC
ES0173093024,RED.MC
ES0124244E34,MAP.MC
ES0180907000,UNI.MC
ES0132105018,ACX.MC
ES0130960018,ENG.MC
ES0171996087,GRF.MC
ES0105027009,LOG.MC
ES0182870214,SCYR.MC
ES0137650018,FDR.MC
ES0105777017,PUIG.MC
ES0165386014,SLR.MC
ES0139140174,COL.MC
ES0157261019,ROVI.MC
ES0105563003,ANE.MC
