start,end,regime
2007-01-01,2007-06-30,EXPANSION
2007-07-01,2007-12-31,STAGFLATION
2008-01-01,2008-06-30,SLOWDOWN
2008-07-01,2009-03-31,LIQUIDITY CRISIS
2009-04-01,2009-12-31,RECOVERY
2010-01-01,2011-07-31,EXPANSION
2011-08-01,2011-10-31,LIQUIDITY CRISIS
2011-11-01,2015-12-31,EXPANSION
2016-01-01,2016-02-29,SLOWDOWN
2016-03-01,2019-12-31,EXPANSION
2020-01-01,2020-03-31,LIQUIDITY CRISIS
2020-04-01,2021-06-30,RECOVERY
2021-07-01,2022-06-30,STAGFLATION
2022-07-01,2023-01-31,INFLATION SHOCK
2023-02-01,2025-12-31,RECOVERY
2026-01-01,2026-06-19,MIXED
