start,end,regime
2006-01-31,2006-12-31,MIXED
2007-01-31,2007-04-30,RECOVERY
2007-05-31,2007-07-31,EXPANSION
2007-08-31,2007-08-31,RECOVERY
2007-09-30,2007-09-30,EXPANSION
2007-10-31,2007-10-31,RECOVERY
2007-11-30,2007-11-30,MIXED
2007-12-31,2008-09-30,RECESSION
2008-10-31,2009-03-31,LIQUIDITY CRISIS
2009-04-30,2009-06-30,RECESSION
2009-07-31,2009-08-31,MIXED
2009-09-30,2009-09-30,SLOWDOWN
2009-10-31,2009-10-31,MIXED
2009-11-30,2010-04-30,EXPANSION
2010-05-31,2010-09-30,MIXED
2010-10-31,2010-10-31,EXPANSION
2010-11-30,2010-11-30,MIXED
2010-12-31,2011-07-31,EXPANSION
2011-08-31,2011-08-31,MIXED
2011-09-30,2011-09-30,LIQUIDITY CRISIS
2011-10-31,2012-07-31,MIXED
2012-08-31,2013-01-31,EXPANSION
2013-02-28,2013-03-31,MIXED
2013-04-30,2014-11-30,EXPANSION
2014-12-31,2015-01-31,MIXED
2015-02-28,2015-02-28,EXPANSION
2015-03-31,2016-01-31,MIXED
2016-02-29,2016-02-29,SLOWDOWN
2016-03-31,2016-07-31,MIXED
2016-08-31,2016-08-31,RECOVERY
2016-09-30,2016-09-30,EXPANSION
2016-10-31,2016-11-30,MIXED
2016-12-31,2016-12-31,RECOVERY
2017-01-31,2018-02-28,EXPANSION
2018-03-31,2018-06-30,RECOVERY
2018-07-31,2018-09-30,EXPANSION
2018-10-31,2019-02-28,MIXED
2019-03-31,2019-04-30,RECOVERY
2019-05-31,2019-05-31,MIXED
2019-06-30,2019-06-30,RECOVERY
2019-07-31,2019-09-30,MIXED
2019-10-31,2019-10-31,RECOVERY
2019-11-30,2020-01-31,EXPANSION
2020-02-29,2020-02-29,RECESSION
2020-03-31,2020-04-30,LIQUIDITY CRISIS
2020-05-31,2020-07-31,MIXED
2020-08-31,2020-08-31,EXPANSION
2020-09-30,2020-10-31,MIXED
2020-11-30,2022-01-31,EXPANSION
2022-02-28,2022-03-31,RECOVERY
2022-04-30,2022-05-31,STAGFLATION
2022-06-30,2022-06-30,INFLATION SHOCK
2022-07-31,2022-07-31,STAGFLATION
2022-08-31,2022-08-31,SLOWDOWN
2022-09-30,2022-09-30,INFLATION SHOCK
2022-10-31,2022-11-30,SLOWDOWN
2022-12-31,2022-12-31,MIXED
2023-01-31,2023-03-31,SLOWDOWN
2023-04-30,2023-05-31,STAGFLATION
2023-06-30,2023-06-30,EXPANSION
2023-07-31,2023-07-31,RECOVERY
2023-08-31,2023-09-30,EXPANSION
2023-10-31,2023-11-30,RECOVERY
2023-12-31,2025-02-28,EXPANSION
2025-03-31,2025-06-30,RECOVERY
2025-07-31,2025-10-31,EXPANSION
2025-11-30,2025-11-30,RECOVERY
2025-12-31,2026-02-28,EXPANSION
2026-03-31,2026-03-31,RECOVERY
2026-04-30,2026-06-30,EXPANSION
