date,Industrial_Production_Total,Industrial_Production_Manufacturing,Retail_Sales
2000-01-01,91.538,92.2097,261545
2000-02-01,91.8239,92.4168,265686
2000-03-01,92.1504,93.0135,269019
2000-04-01,92.6989,93.5958,264067
2000-05-01,92.9499,93.6194,265992
2000-06-01,92.9862,93.7348,267750
2000-07-01,92.8048,93.8178,265683
2000-08-01,92.5521,93.2292,266885
2000-09-01,92.9792,93.725,270523
2000-10-01,92.6179,93.4177,270339
2000-11-01,92.6438,93.1847,268850
2000-12-01,92.3415,92.6399,268338
2001-01-01,91.902,92.3203,272881
2001-02-01,91.3034,91.8104,272627
2001-03-01,91.1162,91.6592,269820
2001-04-01,90.7891,91.2613,274410
2001-05-01,90.3555,90.7213,275769
2001-06-01,89.8784,90.168,274474
2001-07-01,89.3028,89.6173,273098
2001-08-01,89.2003,89.297,275659
2001-09-01,88.7485,88.9392,268652
2001-10-01,88.5052,88.558,288632
2001-11-01,87.97,88.2521,280033
2001-12-01,87.9324,88.4161,276302
2002-01-01,88.5176,89.0258,277135
2002-02-01,88.5278,89.0692,278869
2002-03-01,89.1686,89.7358,278079
2002-04-01,89.604,90.044,281147
2002-05-01,89.964,90.5176,278966
2002-06-01,90.7061,91.4436,280426
2002-07-01,90.6769,91.3272,284161
2002-08-01,90.5762,91.4182,285884
2002-09-01,90.6531,91.4934,281064
2002-10-01,90.4643,91.2516,282940
2002-11-01,90.9711,91.7517,283408
2002-12-01,90.4652,91.1153,286646
2003-01-01,91.2361,91.9301,288657
2003-02-01,91.3445,91.8197,284696
2003-03-01,91.1044,91.9555,288177
2003-04-01,90.5617,91.3398,289053
2003-05-01,90.537,91.396,289619
2003-06-01,90.6527,91.8251,293671
2003-07-01,91.1185,92.1799,296207
2003-08-01,90.9197,91.8284,299592
2003-09-01,91.5059,92.6407,298921
2003-10-01,91.6186,92.7097,298205
2003-11-01,92.2329,93.5573,299433
2003-12-01,92.2602,93.4535,300702
2004-01-01,92.4006,93.362,301993
2004-02-01,92.958,94.046,303915
2004-03-01,92.5861,93.9999,309471
2004-04-01,92.93,94.2717,307358
2004-05-01,93.6013,94.9474,311088
2004-06-01,92.871,94.2172,309127
2004-07-01,93.5649,95.0506,311681
2004-08-01,93.6277,95.4605,311192
2004-09-01,93.7467,95.5578,317446
2004-10-01,94.5465,96.5274,318476
2004-11-01,94.7813,96.5183,320520
2004-12-01,95.5365,97.33,324672
2005-01-01,95.8801,97.9499,321272
2005-02-01,96.5761,98.8565,325308
2005-03-01,96.4456,98.3855,326179
2005-04-01,96.6532,98.811,329124
2005-05-01,96.7402,99.0631,327233
2005-06-01,97.1753,99.3453,337219
2005-07-01,96.8676,98.995,339529
2005-08-01,97.1833,99.5311,335605
2005-09-01,95.3005,98.3893,336600
2005-10-01,96.4572,99.8738,336753
2005-11-01,97.5414,100.8416,339719
2005-12-01,98.0452,100.9959,339895
2006-01-01,98.1999,101.7914,349664
2006-02-01,98.2413,101.5006,347021
2006-03-01,98.4628,101.4364,348357
2006-04-01,98.7618,101.8079,350072
2006-05-01,98.7869,101.5902,348889
2006-06-01,99.0997,101.9267,350795
2006-07-01,99.0489,101.6573,351916
2006-08-01,99.4836,102.4705,353285
2006-09-01,99.3183,102.5967,351240
2006-10-01,99.2044,102.1083,351035
2006-11-01,99.1627,102.2234,352116
2006-12-01,100.1735,103.7877,356367
2007-01-01,99.8346,103.433,355792
2007-02-01,100.7753,103.7703,356545
2007-03-01,100.9547,104.6813,359415
2007-04-01,101.6334,105.3577,358562
2007-05-01,101.7306,105.3756,363085
2007-06-01,101.7893,105.8434,360234
2007-07-01,101.6672,105.9225,361770
2007-08-01,101.863,105.6772,363676
2007-09-01,102.0894,106.0198,365178
2007-10-01,101.8015,105.8942,367322
2007-11-01,102.3446,106.4614,370776
2007-12-01,102.3803,106.6125,366569
2008-01-01,102.2448,106.3605,367368
2008-02-01,101.8438,105.5496,364126
2008-03-01,101.5336,105.1411,365164
2008-04-01,100.8785,104.1184,364816
2008-05-01,100.2674,103.5516,368255
2008-06-01,100.0335,102.8599,368926
2008-07-01,99.676,101.8548,367594
2008-08-01,98.1111,100.5497,364611
