date,NonFarm_Payrolls,Unemployment_Rate,Initial_Claims,Continuing_Claims,Avg_Hourly_Earnings,Total_Private_Employees,Manufacturing_Employees
2000-01-01,131011.0,4.0,286000.0,2102000.0,,110440.0,17284.0
2000-01-08,,,298000.0,2107000.0,,,
2000-01-15,,,289000.0,2115000.0,,,
2000-01-22,,,284000.0,2061000.0,,,
2000-01-29,,,285000.0,2164000.0,,,
2000-02-01,131120.0,4.1,,,,110521.0,17284.0
2000-02-05,,,312000.0,2160000.0,,,
2000-02-12,,,300000.0,2141000.0,,,
2000-02-19,,,283000.0,2132000.0,,,
2000-02-26,,,280000.0,2157000.0,,,
2000-03-01,131604.0,4.0,,,,110871.0,17302.0
2000-03-04,,,286000.0,2098000.0,,,
2000-03-11,,,270000.0,2099000.0,,,
2000-03-18,,,271000.0,2051000.0,,,
2000-03-25,,,272000.0,2068000.0,,,
2000-04-01,131884.0,3.8,266000.0,2026000.0,,111082.0,17299.0
2000-04-08,,,268000.0,2027000.0,,,
2000-04-15,,,259000.0,1962000.0,,,
2000-04-22,,,274000.0,2035000.0,,,
2000-04-29,,,291000.0,2027000.0,,,
2000-05-01,132105.0,4.0,,,,110958.0,17278.0
2000-05-06,,,293000.0,1991000.0,,,
2000-05-13,,,276000.0,1982000.0,,,
2000-05-20,,,280000.0,1998000.0,,,
2000-05-27,,,280000.0,1987000.0,,,
2000-06-01,132063.0,4.0,,,,111176.0,17295.0
2000-06-03,,,290000.0,2019000.0,,,
2000-06-10,,,284000.0,2020000.0,,,
2000-06-17,,,294000.0,2041000.0,,,
2000-06-24,,,296000.0,2033000.0,,,
2000-07-01,132228.0,4.0,281000.0,2052000.0,,111361.0,17322.0
2000-07-08,,,293000.0,2099000.0,,,
2000-07-15,,,303000.0,2122000.0,,,
2000-07-22,,,300000.0,2070000.0,,,
2000-07-29,,,298000.0,2085000.0,,,
2000-08-01,132234.0,4.1,,,,111397.0,17287.0
2000-08-05,,,306000.0,2096000.0,,,
2000-08-12,,,315000.0,2109000.0,,,
2000-08-19,,,318000.0,2145000.0,,,
2000-08-26,,,312000.0,2119000.0,,,
2000-09-01,132337.0,3.9,,,,111602.0,17229.0
2000-09-02,,,301000.0,2169000.0,,,
2000-09-09,,,309000.0,2139000.0,,,
2000-09-16,,,311000.0,2115000.0,,,
2000-09-23,,,288000.0,2098000.0,,,
2000-09-30,,,292000.0,2077000.0,,,
2000-10-01,132352.0,3.9,,,,111609.0,17217.0
2000-10-07,,,309000.0,2133000.0,,,
2000-10-14,,,299000.0,2124000.0,,,
2000-10-21,,,295000.0,2082000.0,,,
2000-10-28,,,301000.0,2126000.0,,,
2000-11-01,132556.0,3.9,,,,111796.0,17202.0
2000-11-04,,,331000.0,2110000.0,,,
2000-11-11,,,318000.0,2161000.0,,,
2000-11-18,,,332000.0,2279000.0,,,
2000-11-25,,,356000.0,2295000.0,,,
2000-12-01,132716.0,3.9,,,,111912.0,17181.0
2000-12-02,,,338000.0,2229000.0,,,
2000-12-09,,,321000.0,2263000.0,,,
2000-12-16,,,354000.0,2322000.0,,,
2000-12-23,,,364000.0,2340000.0,,,
2000-12-30,,,353000.0,2378000.0,,,
2001-01-01,132703.0,4.2,,,,111868.0,17105.0
2001-01-06,,,337000.0,2357000.0,,,
2001-01-13,,,318000.0,2367000.0,,,
2001-01-20,,,343000.0,2419000.0,,,
2001-01-27,,,362000.0,2440000.0,,,
2001-02-01,132788.0,4.2,,,,111882.0,17030.0
2001-02-03,,,376000.0,2489000.0,,,
2001-02-10,,,365000.0,2435000.0,,,
2001-02-17,,,358000.0,2516000.0,,,
2001-02-24,,,386000.0,2506000.0,,,
2001-03-01,132751.0,4.3,,,,111806.0,16938.0
2001-03-03,,,384000.0,2558000.0,,,
2001-03-10,,,393000.0,2557000.0,,,
2001-03-17,,,393000.0,2605000.0,,,
2001-03-24,,,378000.0,2587000.0,,,
2001-03-31,,,388000.0,2620000.0,,,
2001-04-01,132458.0,4.4,,,,111466.0,16802.0
2001-04-07,,,398000.0,2582000.0,,,
2001-04-14,,,383000.0,2742000.0,,,
2001-04-21,,,400000.0,2737000.0,,,
2001-04-28,,,406000.0,2728000.0,,,
2001-05-01,132408.0,4.3,,,,111379.0,16660.0
2001-05-05,,,381000.0,2732000.0,,,
2001-05-12,,,390000.0,2800000.0,,,
2001-05-19,,,402000.0,2819000.0,,,
2001-05-26,,,405000.0,2926000.0,,,
2001-06-01,132300.0,4.5,,,,111163.0,16513.0
2001-06-02,,,406000.0,2919000.0,,,
2001-06-09,,,411000.0,2948000.0,,,
2001-06-16,,,394000.0,2939000.0,,,
2001-06-23,,,381000.0,2972000.0,,,
2001-06-30,,,394000.0,2959000.0,,,
2001-07-01,132172.0,4.6,,,,110987.0,16381.0
2001-07-07,,,401000.0,3063000.0,,,
2001-07-14,,,405000.0,3029000.0,,,
2001-07-21,,,398000.0,2975000.0,,,
2001-07-28,,,388000.0,3056000.0,,,
2001-08-01,132021.0,4.9,,,,110803.0,16233.0
2001-08-04,,,401000.0,3079000.0,,,
2001-08-11,,,394000.0,3125000.0,,,
2001-08-18,,,402000.0,3113000.0,,,
2001-08-25,,,395000.0,3163000.0,,,
2001-09-01,131763.0,5.0,402000.0,3213000.0,,110521.0,16116.0
2001-09-08,,,408000.0,3197000.0,,,
2001-09-15,,,395000.0,3214000.0,,,
2001-09-22,,,453000.0,3302000.0,,,
2001-09-29,,,517000.0,3385000.0,,,
2001-10-01,131452.0,5.3,,,,110177.0,15973.0
2001-10-06,,,476000.0,3432000.0,,,
2001-10-13,,,482000.0,3521000.0,,,
2001-10-20,,,482000.0,3557000.0,,,
2001-10-27,,,483000.0,3600000.0,,,
2001-11-01,131144.0,5.5,,,,109818.0,15825.0
2001-11-03,,,440000.0,3616000.0,,,
2001-11-10,,,428000.0,3627000.0,,,
2001-11-17,,,431000.0,3790000.0,,,
2001-11-24,,,491000.0,3593000.0,,,
2001-12-01,130983.0,5.7,465000.0,3619000.0,,109628.0,15712.0
2001-12-08,,,393000.0,3626000.0,,,
2001-12-15,,,389000.0,3637000.0,,,
2001-12-22,,,416000.0,3591000.0,,,
2001-12-29,,,421000.0,3474000.0,,,
2002-01-01,130859.0,5.7,,,,109482.0,15588.0
2002-01-05,,,397000.0,3587000.0,,,
2002-01-12,,,418000.0,3500000.0,,,
2002-01-19,,,405000.0,3557000.0,,,
2002-01-26,,,414000.0,3558000.0,,,
2002-02-01,130737.0,5.7,,,,109347.0,15518.0
