date,NFCI
2000-01-07,-0.175
2000-01-14,-0.186
2000-01-21,-0.197
2000-01-28,-0.205
2000-02-04,-0.207
2000-02-11,-0.205
2000-02-18,-0.198
2000-02-25,-0.186
2000-03-03,-0.171
2000-03-10,-0.151
2000-03-17,-0.13
2000-03-24,-0.108
2000-03-31,-0.087
2000-04-07,-0.07
2000-04-14,-0.055
2000-04-21,-0.041
2000-04-28,-0.026
2000-05-05,-0.01
2000-05-12,0.006
2000-05-19,0.021
2000-05-26,0.033
2000-06-02,0.04
2000-06-09,0.042
2000-06-16,0.037
2000-06-23,0.025
2000-06-30,0.006
2000-07-07,-0.019
2000-07-14,-0.049
2000-07-21,-0.08
2000-07-28,-0.111
2000-08-04,-0.14
2000-08-11,-0.164
2000-08-18,-0.183
2000-08-25,-0.196
2000-09-01,-0.203
2000-09-08,-0.205
2000-09-15,-0.203
2000-09-22,-0.199
2000-09-29,-0.193
2000-10-06,-0.186
2000-10-13,-0.178
2000-10-20,-0.171
2000-10-27,-0.164
2000-11-03,-0.153
2000-11-10,-0.139
2000-11-17,-0.121
2000-11-24,-0.099
2000-12-01,-0.078
2000-12-08,-0.062
2000-12-15,-0.056
2000-12-22,-0.061
2000-12-29,-0.081
2001-01-05,-0.111
2001-01-12,-0.146
2001-01-19,-0.183
2001-01-26,-0.217
2001-02-02,-0.244
2001-02-09,-0.263
2001-02-16,-0.272
2001-02-23,-0.272
2001-03-02,-0.266
2001-03-09,-0.257
2001-03-16,-0.248
2001-03-23,-0.243
2001-03-30,-0.247
2001-04-06,-0.256
2001-04-13,-0.276
2001-04-20,-0.3
2001-04-27,-0.328
2001-05-04,-0.356
2001-05-11,-0.382
2001-05-18,-0.403
2001-05-25,-0.419
2001-06-01,-0.431
2001-06-08,-0.439
2001-06-15,-0.445
2001-06-22,-0.451
2001-06-29,-0.459
2001-07-06,-0.468
2001-07-13,-0.479
2001-07-20,-0.489
2001-07-27,-0.499
2001-08-03,-0.503
2001-08-10,-0.498
2001-08-17,-0.484
2001-08-24,-0.46
2001-08-31,-0.429
2001-09-07,-0.395
2001-09-14,-0.363
2001-09-21,-0.341
2001-09-28,-0.334
2001-10-05,-0.336
2001-10-12,-0.347
2001-10-19,-0.363
2001-10-26,-0.379
2001-11-02,-0.39
2001-11-09,-0.395
2001-11-16,-0.393
2001-11-23,-0.383
2001-11-30,-0.369
2001-12-07,-0.356
2001-12-14,-0.35
2001-12-21,-0.352
2001-12-28,-0.365
2002-01-04,-0.386
2002-01-11,-0.412
2002-01-18,-0.438
2002-01-25,-0.46
2002-02-01,-0.476
2002-02-08,-0.485
2002-02-15,-0.49
2002-02-22,-0.49
2002-03-01,-0.489
2002-03-08,-0.488
2002-03-15,-0.488
2002-03-22,-0.492
2002-03-29,-0.5
2002-04-05,-0.514
2002-04-12,-0.533
2002-04-19,-0.555
2002-04-26,-0.579
2002-05-03,-0.601
2002-05-10,-0.618
2002-05-17,-0.629
2002-05-24,-0.631
2002-05-31,-0.624
2002-06-07,-0.61
2002-06-14,-0.589
2002-06-21,-0.564
2002-06-28,-0.536
2002-07-05,-0.508
