catalog_key,assigned_entity_id,valid_from,valid_to,source,reason
radar_20260921_0001,radar_entity_0001,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0002,radar_entity_0002,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0003,radar_entity_0003,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0004,radar_entity_0004,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0005,radar_entity_0005,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0006,radar_entity_0006,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0007,radar_entity_0007,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0008,radar_entity_0008,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0009,radar_entity_0009,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0010,radar_entity_0010,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0011,radar_entity_0011,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0012,radar_entity_0012,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0013,radar_entity_0013,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0014,radar_entity_0014,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0015,radar_entity_0015,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0016,radar_entity_0016,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0017,radar_entity_0017,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0018,radar_entity_0018,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0019,radar_entity_0019,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0020,radar_entity_0020,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0021,radar_entity_0021,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0022,radar_entity_0022,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0023,radar_entity_0023,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0024,radar_entity_0024,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0025,radar_entity_0025,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0026,radar_entity_0026,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0027,radar_entity_0027,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0028,radar_entity_0028,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0029,radar_entity_0029,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0030,radar_entity_0030,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0031,radar_entity_0031,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0032,radar_entity_0032,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0033,radar_entity_0033,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0034,radar_entity_0034,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0035,radar_entity_0035,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0036,radar_entity_0036,20260921,,radar_target_catalog,initial migration from snapshot
