radar_ticker,figi,share_class_figi,composite_figi,ticker_from_openfigi,name,security_type,market_sector,exch_code,source,source_date,status
AAPL,BBG000B9XRY4,BBG001S5N8V8,BBG000B9XRY4,AAPL,APPLE INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
ABBV,BBG0025Y4RY4,BBG0025Y4RZ3,BBG0025Y4RY4,ABBV,ABBVIE INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
ABNB,BBG001Y2XS07,BBG001Y2XS16,BBG001Y2XS07,ABNB,AIRBNB INC-CLASS A,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
ABT,BBG000B9ZXB4,BBG001S5N9M6,BBG000B9ZXB4,ABT,ABBOTT LABORATORIES,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
ADM,BBG000BB6WG8,BBG001S5ND74,BBG000BB6WG8,ADM,ARCHER-DANIELS-MIDLAND CO,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
ADP,BBG000JG0547,BBG001S82KF6,BBG000JG0547,ADP,AUTOMATIC DATA PROCESSING,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AEE,BBG000B9X8C0,BBG001S5NF24,BBG000B9X8C0,AEE,AMEREN CORPORATION,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AEP,BBG000BB9KF2,BBG001S5NFD2,BBG000BB9KF2,AEP,AMERICAN ELECTRIC POWER,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AMAT,BBG000BBPFB9,BBG001S5NMM7,BBG000BBPFB9,AMAT,APPLIED MATERIALS INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AMCR,BBG00LNJRQ09,BBG00LNJRQ18,BBG00LNJRQ09,AMCR,AMCOR PLC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AMD,BBG000BBQCY0,BBG001S5NN36,BBG000BBQCY0,AMD,ADVANCED MICRO DEVICES,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AMGN,BBG000BBS2Y0,BBG001S5NNL6,BBG000BBS2Y0,AMGN,AMGEN INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AMT,BBG000B9XYV2,BBG001S5NPQ6,BBG000B9XYV2,AMT,AMERICAN TOWER CORP,REIT,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AMZN,BBG000BVPV84,BBG001S5PQL7,BBG000BVPV84,AMZN,AMAZON.COM INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
APD,BBG000BC4JJ4,BBG001S5NSB6,BBG000BC4JJ4,APD,AIR PRODUCTS & CHEMICALS INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
APP,BBG006HFPX77,BBG006HFPX86,BBG006HFPX77,APP,APPLOVIN CORP-CLASS A,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
ATO,BBG000BRNGM2,BBG001S5VG05,BBG000BRNGM2,ATO,ATMOS ENERGY CORP,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AVGO,BBG00KHY5S69,BBG00KHY5SY8,BBG00KHY5S69,AVGO,BROADCOM INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AWK,BBG000TRJ294,BBG001SPHYW3,BBG000TRJ294,AWK,AMERICAN WATER WORKS CO INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AXP,BBG000BCQZS4,BBG001S5P034,BBG000BCQZS4,AXP,AMERICAN EXPRESS CO,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
AZO,BBG000C7LMS8,BBG001S6Q5D9,BBG000C7LMS8,AZO,AUTOZONE INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BA,BBG000BCSST7,BBG001S5P0V3,BBG000BCSST7,BA,BOEING CO/THE,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BAC,BBG000BCTLF6,BBG001S5P0Y0,BBG000BCTLF6,BAC,BANK OF AMERICA CORP,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BKNG,BBG000BLBVN4,BBG001S89N72,BBG000BLBVN4,BKNG,BOOKING HOLDINGS INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BKR,BBG00GBVBK51,BBG00GBVBK60,BBG00GBVBK51,BKR,BAKER HUGHES CO,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BLK,BBG01PSW2WN4,BBG01PSW2WR0,BBG01PSW2WN4,BLK,BLACKROCK INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BMY,BBG000DQLV23,BBG001S8N8J6,BBG000DQLV23,BMY,BRISTOL-MYERS SQUIBB CO,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BNY,BBG000BD8PN9,BBG001S5P6Q6,BBG000BD8PN9,BNY,BANK OF NEW YORK MELLON CORP,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BRK-B,,,,,,,,,openfigi:/v3/mapping,2026-09-19,MISS
BTSG,BBG0132WL1X7,BBG0132WL2T0,BBG0132WL1X7,BTSG,BRIGHTSPRING HEALTH SERVICES,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
BX,BBG000BH0106,BBG001S7H949,BBG000BH0106,BX,BLACKSTONE INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
C,BBG000FY4S11,BBG001S72ZG4,BBG000FY4S11,C,CITIGROUP INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
CASY,BBG000BF0672,BBG001S5PHZ2,BBG000BF0672,CASY,CASEY'S GENERAL STORES INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
CAT,BBG000BF0K17,BBG001S5PJ06,BBG000BF0K17,CAT,CATERPILLAR INC,Common Stock,Equity,US,openfigi:/v3/mapping,2026-09-19,OK
