cusip,radar_ticker,share_class_figi,n_filings,emisor
037833100,AAPL,BBG001S5N8V8,943,APPLE INC
00287Y109,ABBV,BBG0025Y4RZ3,606,ABBVIE INC
009066101,ABNB,BBG001Y2XS16,198,AIRBNB INC
002824100,ABT,BBG001S5N9M6,438,ABBOTT LABORATORIES
039483102,ADM,BBG001S5ND74,151,ARCHER DANIELS MIDLAND CO
053015103,ADP,BBG001S82KF6,343,AUTOMATIC DATA PROCESSING IN
023608102,AEE,BBG001S5NF24,115,AMEREN CORP
025537101,AEP,BBG001S5NFD2,276,AMERICAN ELEC PWR CO INC
038222105,AMAT,BBG001S5NMM7,428,APPLIED MATLS INC
G0250X149,AMCR,BBG00LNJRQ18,73,AMCOR PLC
G0250X107,AMCR,BBG00LNJRQ18,74,AMCOR PLC
007903107,AMD,BBG001S5NN36,454,ADVANCED MICRO DEVICES INC
031162100,AMGN,BBG001S5NNL6,484,AMGEN INC
03027X100,AMT,BBG001S5NPQ6,275,AMERICAN TOWER CORP NEW
023135906,AMZN,BBG001S5PQL7,1,AMAZON COM INC
023135106,AMZN,BBG001S5PQL7,895,AMAZON COM INC
009158106,APD,BBG001S5NSB6,246,AIR PRODS & CHEMS INC
03831W108,APP,BBG006HFPX86,199,APPLOVIN CORP
049560105,ATO,BBG001S5VG05,122,ATMOS ENERGY CORP
11135F101,AVGO,BBG00KHY5SY8,709,BROADCOM INC
030420103,AWK,BBG001SPHYW3,164,AMERICAN WTR WKS CO INC NEW
025816109,AXP,BBG001S5P034,432,AMERICAN EXPRESS CO
053332102,AZO,BBG001S6Q5D9,191,AUTOZONE INC
097023105,BA,BBG001S5P0V3,386,BOEING CO
060505104,BAC,BBG001S5P0Y0,523,BANK AMERICA CORP
09857L108,BKNG,BBG001S89N72,297,BOOKING HOLDINGS INC
05722G100,BKR,BBG00GBVBK60,154,BAKER HUGHES COMPANY
09290D101,BLK,BBG01PSW2WR0,334,BLACKROCK INC
110122108,BMY,BBG001S8N8J6,364,BRISTOL-MYERS SQUIBB CO
064058100,BNY,BBG001S5P6Q6,231,BANK NEW YORK MELLON CORP
084670702,BRK-B,BBG001S90346,675,BERKSHIRE HATHAWAY INC DEL
10950A106,BTSG,BBG0132WL2T0,42,BRIGHTSPRING HEALTH SVCS INC
09260D107,BX,BBG001S7H949,335,BLACKSTONE INC
172967424,C,BBG001S72ZG4,377,CITIGROUP INC
147528103,CASY,BBG001S5PHZ2,164,CASEYS GEN STORES INC
149123101,CAT,BBG001S5PJ06,540,CATERPILLAR INC
H1467J104,CB,BBG001S8S1L3,307,CHUBB LTD SWITZ
12504L109,CBRE,BBG001SC2D27,155,CBRE GROUP INC
22822V101,CCI,BBG001S7W5T3,120,CROWN CASTLE INC
21037T109,CEG,BBG014KFRPJ9,282,CONSTELLATION ENERGY CORP
