CUSIP,ticker,valid_from,valid_to,source
037833100,AAPL,,,cusip_to_radar_figi
00287Y109,ABBV,,,cusip_to_radar_figi
009066101,ABNB,,,cusip_to_radar_figi
002824100,ABT,,,cusip_to_radar_figi
039483102,ADM,,,cusip_to_radar_figi
053015103,ADP,,,cusip_to_radar_figi
023608102,AEE,,,cusip_to_radar_figi
025537101,AEP,,,cusip_to_radar_figi
038222105,AMAT,,,cusip_to_radar_figi
G0250X149,AMCR,,,cusip_to_radar_figi
G0250X107,AMCR,,,cusip_to_radar_figi
007903107,AMD,,,cusip_to_radar_figi
031162100,AMGN,,,cusip_to_radar_figi
03027X100,AMT,,,cusip_to_radar_figi
023135906,AMZN,,,cusip_to_radar_figi
023135106,AMZN,,,cusip_to_radar_figi
009158106,APD,,,cusip_to_radar_figi
03831W108,APP,,,cusip_to_radar_figi
049560105,ATO,,,cusip_to_radar_figi
11135F101,AVGO,,,cusip_to_radar_figi
030420103,AWK,,,cusip_to_radar_figi
025816109,AXP,,,cusip_to_radar_figi
053332102,AZO,,,cusip_to_radar_figi
097023105,BA,,,cusip_to_radar_figi
060505104,BAC,,,cusip_to_radar_figi
09857L108,BKNG,,,cusip_to_radar_figi
05722G100,BKR,,,cusip_to_radar_figi
09290D101,BLK,,,cusip_to_radar_figi
110122108,BMY,,,cusip_to_radar_figi
064058100,BNY,,,cusip_to_radar_figi
084670702,BRK-B,,,cusip_to_radar_figi
10950A106,BTSG,,,cusip_to_radar_figi
09260D107,BX,,,cusip_to_radar_figi
172967424,C,,,cusip_to_radar_figi
147528103,CASY,,,cusip_to_radar_figi
149123101,CAT,,,cusip_to_radar_figi
H1467J104,CB,,,cusip_to_radar_figi
12504L109,CBRE,,,cusip_to_radar_figi
22822V101,CCI,,,cusip_to_radar_figi
21037T109,CEG,,,cusip_to_radar_figi
125269100,CF,,,cusip_to_radar_figi
16119P108,CHTR,,,cusip_to_radar_figi
194162103,CL,,,cusip_to_radar_figi
20030N101,CMCSA,,,cusip_to_radar_figi
12572Q105,CME,,,cusip_to_radar_figi
169656105,CMG,,,cusip_to_radar_figi
14040H105,COF,,,cusip_to_radar_figi
20825C104,COP,,,cusip_to_radar_figi
22160K105,COST,,,cusip_to_radar_figi
G25508105,CRH,,,cusip_to_radar_figi
79466L302,CRM,,,cusip_to_radar_figi
22788C105,CRWD,,,cusip_to_radar_figi
17275R102,CSCO,,,cusip_to_radar_figi
126408103,CSX,,,cusip_to_radar_figi
14174T107,CTRE,,,cusip_to_radar_figi
22052L104,CTVA,,,cusip_to_radar_figi
146869102,CVNA,,,cusip_to_radar_figi
126650100,CVS,,,cusip_to_radar_figi
166764100,CVX,,,cusip_to_radar_figi
23282W605,CYTK,,,cusip_to_radar_figi
25746U109,D,,,cusip_to_radar_figi
25809K105,DASH,,,cusip_to_radar_figi
244199105,DE,,,cusip_to_radar_figi
256677105,DG,,,cusip_to_radar_figi
235851102,DHR,,,cusip_to_radar_figi
254687106,DIS,,,cusip_to_radar_figi
253868103,DLR,,,cusip_to_radar_figi
260557103,DOW,,,cusip_to_radar_figi
233331107,DTE,,,cusip_to_radar_figi
26441C204,DUK,,,cusip_to_radar_figi
25179M103,DVN,,,cusip_to_radar_figi
109641100,EAT,,,cusip_to_radar_figi
278768106,ECHO,,,cusip_to_radar_figi
278865100,ECL,,,cusip_to_radar_figi
209115104,ED,,,cusip_to_radar_figi
036752103,ELV,,,cusip_to_radar_figi
26875P101,EOG,,,cusip_to_radar_figi
29444U700,EQIX,,,cusip_to_radar_figi
26884L109,EQT,,,cusip_to_radar_figi
30040W108,ES,,,cusip_to_radar_figi
297178105,ESS,,,cusip_to_radar_figi
G29183103,ETN,,,cusip_to_radar_figi
29364G103,ETR,,,cusip_to_radar_figi
30161N101,EXC,,,cusip_to_radar_figi
165167735,EXE,,,cusip_to_radar_figi
30225T102,EXR,,,cusip_to_radar_figi
345370860,F,,,cusip_to_radar_figi
25278X109,FANG,,,cusip_to_radar_figi
33768G107,FCFS,,,cusip_to_radar_figi
35671D857,FCX,,,cusip_to_radar_figi
35137L204,FOX,,,cusip_to_radar_figi
35137L105,FOXA,,,cusip_to_radar_figi
M6191J100,FROG,,,cusip_to_radar_figi
369550108,GD,,,cusip_to_radar_figi
369604301,GE,,,cusip_to_radar_figi
36828A101,GEV,,,cusip_to_radar_figi
375558103,GILD,,,cusip_to_radar_figi
377322102,GKOS,,,cusip_to_radar_figi
37045V100,GM,,,cusip_to_radar_figi
02079K107,GOOG,,,cusip_to_radar_figi
02079K305,GOOGL,,,cusip_to_radar_figi
38141G104,GS,,,cusip_to_radar_figi
406216101,HAL,,,cusip_to_radar_figi
