isin,ticker
BE0974293251,ABI.BR
DE0005140008,DBK.DE
DE0005190003,BMW.DE
DE0005552004,DHL.DE
DE0005557508,DTE.DE
DE0005810055,DB1.DE
DE0006231004,IFX.DE
DE0007030009,RHM.DE
DE0007100000,MBG.DE
DE0007164600,SAP.DE
DE0007236101,SIE.DE
DE0008404005,ALV.DE
DE0008430026,MUV2.DE
DE000A1EWWW0,ADS.DE
DE000BASF111,BAS.DE
DE000BAY0017,BAYN.DE
DE000ENER6Y0,ENR.DE
ES0113211835,BBVA.MC
ES0113900J37,SAN.MC
ES0144580Y14,IBE.MC
ES0148396007,ITX.MC
FI4000297767,NDA-FI.HE
FR0000052292,RMS.PA
FR0000073272,SAF.PA
FR0000120073,AI.PA
FR0000120271,TTE.PA
FR0000120321,OR.PA
FR0000120578,SAN.PA
FR0000120628,CS.PA
FR0000120644,BN.PA
FR0000121014,MC.PA
FR0000121667,EL.PA
FR0000121972,SU.PA
FR0000125007,SGO.PA
FR0000125486,DG.PA
FR0000131104,BNP.PA
IT0000072618,ISP.MI
IT0003128367,ENEL.MI
IT0003132476,ENI.MI
IT0005239360,UCG.MI
NL0000235190,AIR.PA
NL0000395903,WKL.AS
NL0010273215,ASML.AS
NL0010832176,ARGX.BR
NL0011585146,RACE.MI
NL0011794037,AD.AS
NL0011821202,INGA.AS
NL0012969182,ADYEN.AS
NL0013654783,PRX.AS
