etf,ticker,name,weight
FR0010251744,SAN.MC,BANCO SANTANDER SA MADRID,0.1807168350
FR0010251744,BBVA.MC,BANCO BILBAO VIZCAYA ARGENTA,0.1332111052
FR0010251744,IBE.MC,IBERDROLA SA,0.1330018267
FR0010251744,ITX.MC,INDUSTRIA DE DISENO TEXTIL,0.1057920888
FR0010251744,CABK.MC,CAIXABANK SA,0.0691277783
FR0010251744,FER.MC,FERROVIAL SE MADRID,0.0396909105
FR0010251744,AENA.MC,AENA SME SA,0.0306703567
FR0010251744,ACS.MC,ACS ACTIVIDADES CONS Y SERV,0.0289390526
FR0010251744,REP.MC,REPSOL SA,0.0272360511
FR0010251744,AMS.MC,AMADEUS IT GROUP SA,0.0246238491
FR0010251744,IAG.MC,INTL CONSOLD AIRLINES-EUR,0.0225317572
FR0010251744,TEF.MC,TELEFONICA SA,0.0197353792
FR0010251744,CLNX.MC,CELLNEX TELECOM SA,0.0176962403
FR0010251744,ELE.MC,ENDESA SA,0.0166375032
FR0010251744,SAB.MC,BANCO DE SABADELL SA,0.0162837880
FR0010251744,NTGY.MC,NATURGY ENERGY GROUP SA,0.0159384431
FR0010251744,BKT.MC,BANKINTER SA,0.0142575147
FR0010251744,IDR.MC,INDRA SISTEMAS SA,0.0108462360
FR0010251744,MT.AS,ARCELORMITTAL SA AMSTERDAM,0.0104852547
FR0010251744,ANA.MC,ACCIONA SA,0.0087715201
FR0010251744,MRL.MC,MERLIN PROPERTIES SOCIMI,0.0086353713
FR0010251744,RED.MC,REDEIA CORP SA,0.0079298193
FR0010251744,MAP.MC,MAPFRE SA,0.0078001643
FR0010251744,UNI.MC,UNICAJA BANCO S.A.,0.0069670596
FR0010251744,ACX.MC,ACERINOX SA,0.0043033500
FR0010251744,ENG.MC,ENAGAS SA,0.0041806857
FR0010251744,GRF.MC,GRIFOLS SA,0.0040791308
FR0010251744,LOG.MC,LOGISTA INTEGRAL SA,0.0037085708
FR0010251744,SCYR.MC,SACYR SA,0.0035003172
FR0010251744,FDR.MC,FLUIDRA SA,0.0029514771
FR0010251744,PUIG.MC,PUIG BRANDS SA-B,0.0028398775
FR0010251744,SLR.MC,SOLARIA ENERGIA Y MEDIO AMBIANTE,0.0020073701
FR0010251744,COL.MC,COLONIAL SFL SOCIMI SA,0.0019889433
FR0010251744,ROVI.MC,LABORATORIOS FARMACEUTICOS R,0.0017273721
FR0010251744,ANE.MC,CORP ACCIONA ENERGIAS RENOVA,0.0006328836
