,RS20_XLK,Flow_XLK,Momentum_XLK,Trend_XLK,RS20_XLF,Flow_XLF,Momentum_XLF,Trend_XLF,RS20_XLV,Flow_XLV,Momentum_XLV,Trend_XLV,RS20_XLE,Flow_XLE,Momentum_XLE,Trend_XLE,RS20_XLY,Flow_XLY,Momentum_XLY,Trend_XLY,RS20_XLP,Flow_XLP,Momentum_XLP,Trend_XLP,RS20_XLI,Flow_XLI,Momentum_XLI,Trend_XLI,RS20_XLB,Flow_XLB,Momentum_XLB,Trend_XLB,RS20_XLRE,Flow_XLRE,Momentum_XLRE,Trend_XLRE,RS20_XLU,Flow_XLU,Momentum_XLU,Trend_XLU,RS20_XLC,Flow_XLC,Momentum_XLC,Trend_XLC
RS20_XLK,1.0,0.33960436501553204,0.35775935259354336,0.46105173327771815,-0.5862840643106589,0.02262100880073234,-0.09927565061235637,0.03115890434975556,-0.48598503719618824,0.056177623524148325,-0.10934253325535745,-0.06772435110292499,-0.4522177061859761,-0.09316518352650555,-0.09017058345528796,-0.15663040198761624,0.14896577075239986,0.2330477927194832,0.1330065829803871,0.29331968781258305,-0.46555028398183484,0.032271779564685577,-0.10560185051111079,-0.04828246566336016,-0.4786339488217605,0.10243916577740222,-0.027600741278850167,0.13138242260480856,-0.5072307108347314,0.016669768973604854,-0.01781628716085295,0.10244560997580418,-0.3374937834265638,0.04269337881623793,0.03845313728989986,0.07602322056294818,-0.39475242862776094,0.025316163529648043,-0.032400338739130265,-0.12142076479618633,0.00613958805421462,0.1605171178376132,0.17538748165824472,0.19444625988584383
Flow_XLK,0.33960436501553204,1.0,0.031038631778075698,0.2585426007234456,-0.0888853839353884,0.40792651936799673,-0.013985914274760234,0.14449736357754445,-0.2432113735145647,0.4417251825707046,-0.05333142500499691,0.13074280345790526,-0.1063535438149839,0.1240738723834795,0.10418777298795488,0.0823434079520122,0.0746503818119553,0.6382581018639036,-0.02918794445285813,0.20483586169424364,-0.3240514798131082,0.2921961697153376,-0.05828884836402215,0.07788175090596777,-0.05019567557558449,0.5014158963257865,0.003812378915234511,0.1790070371290146,-0.08075910008117265,0.36005008513632714,0.048588597965114805,0.19575488463349536,-0.12179008214142671,0.34379907190060804,0.030563978647525296,0.1699844425625988,-0.27471602104606935,0.19639017692838306,-0.0008643150593324484,0.03848833489825279,-0.028394588035157924,0.5496509285147917,0.0317939938615752,0.13902146674417507
Momentum_XLK,0.35775935259354336,0.031038631778075698,1.0,0.6465184866897888,-0.1025258423204483,0.035460335049187865,0.4983625966940967,0.3966616938714927,-0.21238281385985056,0.10195090228909831,0.45351122214331924,0.29529432088512225,-0.26861122542079147,0.04637061094628187,-0.02747538718394612,-0.023582506410370047,0.16235143580498904,-0.0024332050405825485,0.755917959092095,0.593663061355965,-0.28846196648147165,0.1001648126120308,0.3421248260993046,0.26266987721550145,-0.14439661800147205,0.03744582050514183,0.5775153623432386,0.49329691721942326,-0.24032867020615184,-0.06298160805237257,0.448810174897327,0.4122738649607584,-0.17126155486793318,0.039077141202203916,0.4148708619655868,0.3317588850569834,-0.26808189837680674,-0.03517772160879541,0.23116509743840766,0.12573455991638774,0.053269606058154,0.022621718591512983,0.7356870869926583,0.272769943591942
Trend_XLK,0.46105173327771815,0.2585426007234456,0.6465184866897888,1.0,-0.14645974565680744,0.1006609714285658,0.406126183436898,0.5762388224185288,-0.37334780059702605,0.15718853572880082,0.2929110892706557,0.4616206910041153,-0.2332187735501188,0.10964108157291082,0.009199886988555617,0.10249975517148077,0.27240511257489325,0.18505220534716024,0.5758322401401612,0.8153706067382835,-0.4909291946522609,0.20174380304851333,0.1707952032525725,0.34111285902906047,-0.11662996430238624,0.17758938366347832,0.43801789696902294,0.6804058573738064,-0.17620367902890793,0.09245233229127088,0.3696213313268828,0.5998783976737192,-0.19420381340099066,0.1239791908411577,0.3617444547272518,0.4675911503891102,-0.3735373839495286,0.10144361171574837,0.17198277753137803,0.21849230879167886,0.062228942170458657,0.18493394039079253,0.605101577893705,0.518171779750663
RS20_XLF,-0.5862840643106589,-0.0888853839353884,-0.1025258423204483,-0.14645974565680744,1.0,0.2544782025360527,0.3709359740255317,0.35735394997316233,-0.023382395586702385,0.009814050480282608,0.07251473933627031,0.035837121528434476,0.42907850536752673,0.19839135873786914,0.12933208969282864,0.18012509788098868,-0.11297174492585291,-0.07574833380850922,-0.0009851256455188635,-0.04379816572624799,-0.052860213095266964,-0.009855186172559989,0.02554984650967536,0.009104515554551908,0.5823704265401123,0.13955343737429887,0.1877835485548796,0.15640890030901272,0.40282653772177,0.08390851926822603,0.1423752190472374,0.13902064407507478,0.02368901830698723,-0.013712572030342663,-0.011176700832737073,0.003355253516643564,-0.05169132283504117,-0.03592585315359973,-0.004163249720314259,-0.0011155436866697242,-0.08912181042454508,-0.03069817251609329,-0.013528746718989121,-0.06402309675072712
Flow_XLF,0.02262100880073234,0.40792651936799673,0.035460335049187865,0.1006609714285658,0.2544782025360527,1.0,-0.017168565605519992,0.23441146608774147,-0.07041062041529034,0.47305731513358223,0.00710450379473145,0.19161197355277512,0.020860098126522748,0.2998537247626167,-0.05733291422253181,0.07276499858774088,0.04950159220210388,0.4917227316071777,0.017731632409365053,0.12765408127657615,-0.1993094071873862,0.36701776091098814,0.015797929139320977,0.0994843514456381,0.12487364296629945,0.6635036197565046,-0.004001726795059297,0.19583736307930438,0.09558453520951268,0.49911500693623495,0.020979321618934416,0.23049259720248233,-0.061719247248556985,0.41714252824327125,0.017182148289691244,0.1583097275861954,-0.2143970339350197,0.2092525669247333,0.0036138570414174943,0.04399432400103944,-0.013882624630507694,0.3937897943465239,-0.05535240922788331,0.005136670388286516
Momentum_XLF,-0.09927565061235637,-0.013985914274760234,0.4983625966940967,0.406126183436898,0.3709359740255317,-0.017168565605519992,1.0,0.6471769910034367,-0.15744533294343688,0.08111547404665884,0.4453904161944906,0.3219298301285048,0.05496665046157185,0.16338953021404426,0.30632921087119275,0.2612212477991062,0.08010962591597534,-0.009727978317797105,0.5764740771870787,0.45259870390679435,-0.23892049502769655,0.06028209262222136,0.32281157864681576,0.2715014829845382,0.19117757190540904,0.09782505236168947,0.8228599407640105,0.5601293605294896,0.07218498018647587,-0.014246701147836403,0.6706410129731294,0.48139194267719554,-0.12774303349922184,0.015828432587789976,0.34588790574438705,0.287182192988131,-0.23766501676893562,-0.00595064799536361,0.1030660748448023,0.10018840936503434,0.05706646664263484,0.02383403638539349,0.6449864673693049,0.26252722174024884
Trend_XLF,0.03115890434975556,0.14449736357754445,0.3966616938714927,0.5762388224185288,0.35735394997316233,0.23441146608774147,0.6471769910034367,1.0,-0.24269311886538436,0.19005114272544354,0.3345781112917608,0.4557779661854364,-0.02144586729222694,0.20133807560635558,0.13550661615268655,0.27952531654207086,0.09320509418814941,0.14623486261749935,0.4018118924757623,0.606051865892714,-0.33493207828983584,0.206357689801146,0.23708117678120394,0.38846459589584953,0.19117558699109072,0.29111627548444724,0.5217692026687634,0.7639400452469283,0.0458454303192212,0.19853924077391985,0.4084320292012724,0.6417764382683654,-0.11086272135740965,0.11896318750604899,0.3475202710734126,0.4675145337370137,-0.2924598415413345,0.06715490459666947,0.18252638800786627,0.264640648052692,-0.03931225249391729,0.1533912236717226,0.4398584433144077,0.39740902339037487
RS20_XLV,-0.48598503719618824,-0.2432113735145647,-0.21238281385985056,-0.37334780059702605,-0.023382395586702385,-0.07041062041529034,-0.15744533294343688,-0.24269311886538436,1.0,0.15389321521578617,0.2457985483398427,0.25835498400306683,0.005246651987874238,-0.0843936309384296,-0.13029847012051016,-0.06573369267312074,-0.40184565763831986,-0.2268755313217082,-0.22138271199031168,-0.36895438964867494,0.544765932033437,-0.014528833943737954,-0.0031708565190462874,-0.034092981109655855,-0.014428031541283746,-0.15392756326657886,-0.21450202291830245,-0.2683443409317464,0.19670038749080562,-0.02022445916531675,-0.1760992357302963,-0.23178745229293626,0.2677557131647631,-0.0706732845790872,-0.08190083763864474,-0.13544788952416384,0.3960697423273686,-0.03015337598047192,-0.08255661683820995,0.021012122476816903,-0.1615266868989675,-0.12463888857941825,-0.3329975932642521,-0.32304437165231564
Flow_XLV,0.056177623524148325,0.4417251825707046,0.10195090228909831,0.15718853572880082,0.009814050480282608,0.47305731513358223,0.08111547404665884,0.19005114272544354,0.15389321521578617,1.0,0.038672020109501166,0.31447605922974325,-0.052740024735311614,0.18401406956228467,0.1375311274989421,0.11305405267942889,-0.04299628900539924,0.45389795937981126,0.07828864275075734,0.13604773377463455,-0.14156537742897637,0.4677556573189824,-0.0024583236039448625,0.1840505725584312,0.0014580941026598817,0.5213735305207635,0.07032000368491026,0.20785961567570121,0.01750966037859512,0.43710177361607233,0.09085023066509429,0.19612025127308524,-0.06044507003597699,0.43281765144439655,-0.020915952463062448,0.18196902426421413,-0.15726097262429212,0.2715625619723597,-0.08313691934618629,0.08564214646254042,-0.12500115008178395,0.4026110676579165,0.03935538711247394,0.06037005226396341
