sector,n,RS_IC20,Momentum_IC20,Flow_IC20,Wyckoff_IC20,Tactical_IC20,Structural_IC20,RS_IC60,Momentum_IC60,Flow_IC60,Wyckoff_IC60,Tactical_IC60,Structural_IC60
XLK,75,0.38992887624466566,0.2636415362731152,0.13564722617354194,0.25098150782361306,0.2745661450924609,0.19229018492176386,0.0867140825035562,-0.10998577524893315,-5.689900426742532e-05,-0.28708392603129446,-0.13200568990042674,-0.0638406827880512
XLF,75,-0.18662873399715507,-0.32546230440967283,0.05345661450924609,-0.21519203413940255,-0.33362731152204833,-0.10147937411095306,-0.32972972972972975,-0.24216216216216216,-0.03396870554765291,-0.28708392603129446,-0.28623044096728306,-0.11118065433854907
XLV,75,-0.19044096728307255,0.12978662873399713,0.04017069701280227,0.17106685633001423,-0.06512091038406828,-0.4483072546230441,-0.4220483641536273,-0.06165007112375533,0.062475106685633,0.10372688477951636,-0.3140256045519203,-0.6206543385490754
XLE,75,-0.18321479374110952,-0.1791465149359886,-0.15092460881934563,0.006031294452347083,-0.22725462304409672,-0.11772403982930296,-0.2265718349928876,-0.2077382645803698,-0.07200568990042673,0.04930298719772404,-0.23209103840682788,-0.19095305832147938
XLY,75,0.20665718349928874,0.04714082503556188,-0.09724039829302987,0.04697012802275959,0.054395448079658605,-0.18688477951635843,-0.194850640113798,-0.24509246088193454,0.10059743954480796,-0.17157894736842103,-0.2795163584637269,-0.22495021337126597
XLP,75,-0.08970128022759602,-0.2656045519203414,0.08190611664295876,0.02768136557610242,-0.18736842105263155,-0.06458036984352773,-0.0770981507823613,-0.28284495021337125,-0.061479374110953056,-0.5058321479374112,-0.2186913229018492,-0.3191465149359886
XLI,75,-0.05968705547652916,-0.19192034139402558,0.09419630156472261,-0.013342816500711237,-0.17152204836415363,-0.0024466571834992888,0.025120910384068277,-0.2861166429587482,-0.02665718349928876,-0.5366998577524893,-0.2516927453769559,-0.14822190611664293
XLB,75,-0.009132290184921763,-0.0762162162162162,0.16705547652916072,-0.01661450924608819,-0.03083926031294452,-0.006799431009957326,-0.14953058321479373,-0.24372688477951635,0.06011379800853484,-0.14236130867709815,-0.25186344238975816,-0.1242674253200569
XLRE,75,-0.2605689900426742,-0.3347937411095306,-0.137325746799431,-0.08489331436699858,-0.38765291607396873,-0.09354196301564723,0.035761024182076814,-0.26847795163584637,-0.18770981507823611,-0.23815078236130865,-0.184950213371266,0.15288762446657184
XLU,75,-0.07061166429587482,-0.2269701280227596,-0.0005120910384068278,-0.04091038406827881,-0.17718349928876242,-0.12014224751066856,-0.2362446657183499,-0.3080227596017069,-0.06418207681365576,-0.034310099573257466,-0.28071123755334276,-0.0287624466571835
XLC,75,-0.21570412517780937,-0.18409672830725463,-0.16196301564722615,-0.012347083926031293,-0.13923186344238975,-0.1110099573257468,-0.13493598862019912,-0.12714082503556187,-0.19061166429587484,-0.027766714082503554,-0.058605974395448075,0.2728022759601707
