date,expected,obtained,macro_score,confidence,liq_regime,vol_regime,real_liq_regime
2010-01-01,EXPANSION,MIXED,,0.39203074488391443,ESTRECHA,LOW,ESTRECHA
2010-01-08,EXPANSION,MIXED,,0.5020245909113099,NEUTRAL,LOW,ESTRECHA
2010-01-15,EXPANSION,MIXED,,0.550050445947112,ESTRECHA,LOW,ESTRECHA
2010-01-22,EXPANSION,MIXED,,0.5887718287895345,CRISIS,NORMAL,ESTRECHA
2010-01-29,EXPANSION,MIXED,,0.5546704736855723,CRISIS,ELEVATED,ESTRECHA
2010-02-05,EXPANSION,INFLATION SHOCK,,0.40419449445729017,CRISIS,ELEVATED,ESTRECHA
2010-02-12,EXPANSION,INFLATION SHOCK,,0.5180188064754344,ESTRECHA,ELEVATED,ESTRECHA
2010-02-19,EXPANSION,INFLATION SHOCK,,0.5731640539643307,ESTRECHA,NORMAL,ESTRECHA
2010-02-26,EXPANSION,MIXED,,0.5000469265557616,ABUNDANTE,NORMAL,ESTRECHA
2010-03-05,EXPANSION,MIXED,,0.5420053849197994,ABUNDANTE,LOW,ESTRECHA
2010-03-12,EXPANSION,MIXED,,0.5626048396081877,ABUNDANTE,LOW,ESTRECHA
2010-03-19,EXPANSION,INFLATION SHOCK,,0.5724622208479437,NEUTRAL,LOW,ESTRECHA
2010-03-26,EXPANSION,MIXED,,0.5190339637546137,NEUTRAL,LOW,ESTRECHA
2010-04-02,EXPANSION,MIXED,,0.4997025126598985,NEUTRAL,LOW,ESTRECHA
2010-04-09,EXPANSION,MIXED,,0.46018975029758,NEUTRAL,LOW,ESTRECHA
2010-04-16,EXPANSION,MIXED,,0.5723721615124191,CRISIS,LOW,ESTRECHA
2010-04-23,EXPANSION,MIXED,,0.5154219840380583,NEUTRAL,NORMAL,ESTRECHA
2010-04-30,EXPANSION,MIXED,,0.41865619973757984,CRISIS,ELEVATED,ESTRECHA
2010-05-07,MIXED,INFLATION SHOCK,,0.29140000795092247,NEUTRAL,STRESS,ESTRECHA
2010-05-14,MIXED,INFLATION SHOCK,,0.3415986147349557,CRISIS,STRESS,ESTRECHA
2010-05-21,MIXED,MIXED,,0.35263849977864914,NEUTRAL,STRESS,ESTRECHA
2010-05-28,MIXED,MIXED,,0.4238627071231491,ESTRECHA,STRESS,ESTRECHA
2010-06-04,MIXED,INFLATION SHOCK,,0.4734315923951158,CRISIS,STRESS,ESTRECHA
2010-06-11,MIXED,INFLATION SHOCK,,0.5216587739414806,ESTRECHA,STRESS,ESTRECHA
2010-06-18,MIXED,MIXED,,0.5004962169531971,NEUTRAL,ELEVATED,ESTRECHA
2010-06-25,MIXED,MIXED,,0.4727398770834741,NEUTRAL,ELEVATED,ESTRECHA
2010-07-02,MIXED,INFLATION SHOCK,,0.39923898414611547,NEUTRAL,NORMAL,ESTRECHA
2010-07-09,MIXED,INFLATION SHOCK,,0.5090174471274841,NEUTRAL,NORMAL,ESTRECHA
2010-07-16,MIXED,INFLATION SHOCK,,0.4743973741449399,NEUTRAL,NORMAL,ESTRECHA
2010-07-23,MIXED,MIXED,,0.5886380400783046,NEUTRAL,NORMAL,ESTRECHA
2010-07-30,MIXED,MIXED,,0.6371990399776531,NEUTRAL,LOW,ESTRECHA
2010-08-06,MIXED,MIXED,,0.6809168040447312,ABUNDANTE,LOW,ESTRECHA
2010-08-13,MIXED,MIXED,,0.6963570685950657,ESTRECHA,NORMAL,ESTRECHA
2010-08-20,MIXED,MIXED,,0.5298720116533495,NEUTRAL,LOW,ESTRECHA
2010-08-27,MIXED,MIXED,,0.5340653154674087,ABUNDANTE,NORMAL,ESTRECHA
2010-09-03,MIXED,MIXED,,0.4716659342071068,NEUTRAL,NORMAL,ESTRECHA
2010-09-10,MIXED,MIXED,,0.5005958506016492,NEUTRAL,NORMAL,ESTRECHA
2010-09-17,MIXED,MIXED,,0.5130211088919578,ESTRECHA,NORMAL,ESTRECHA
2010-09-24,MIXED,MIXED,,0.44683145802704205,ABUNDANTE,NORMAL,ESTRECHA
2010-10-01,MIXED,MIXED,,0.5343165888935117,NEUTRAL,LOW,ESTRECHA
2010-10-08,MIXED,MIXED,,0.5024410266577478,NEUTRAL,LOW,ESTRECHA
2010-10-15,MIXED,MIXED,,0.5027305853840873,ESTRECHA,LOW,ESTRECHA
2010-10-22,MIXED,MIXED,,0.4561962903000122,NEUTRAL,LOW,ESTRECHA
2010-10-29,MIXED,MIXED,,0.45871133856431145,ESTRECHA,LOW,ESTRECHA
2010-11-05,MIXED,MIXED,,0.3542542017837138,ESTRECHA,LOW,ESTRECHA
2010-11-12,MIXED,MIXED,,0.440064270951974,ESTRECHA,NORMAL,ESTRECHA
2010-11-19,MIXED,MIXED,,0.36661152112271733,NEUTRAL,NORMAL,ESTRECHA
2010-11-26,MIXED,MIXED,,0.46716072162731903,CRISIS,ELEVATED,ESTRECHA
2010-12-03,MIXED,MIXED,,0.43426492828865515,NEUTRAL,ELEVATED,ESTRECHA
2010-12-10,MIXED,MIXED,,0.4599236437742503,ESTRECHA,ELEVATED,ESTRECHA
2010-12-17,MIXED,MIXED,,0.5344622396348151,NEUTRAL,NORMAL,ESTRECHA
2010-12-24,MIXED,MIXED,,0.5953954218428725,NEUTRAL,NORMAL,ESTRECHA
2010-12-31,EXPANSION,MIXED,,0.6090886885141693,NEUTRAL,LOW,ESTRECHA
2011-01-07,EXPANSION,INFLATION SHOCK,,0.519743223765863,ESTRECHA,LOW,ESTRECHA
2011-01-14,EXPANSION,MIXED,,0.5220157400331784,NEUTRAL,LOW,ESTRECHA
2011-01-21,EXPANSION,MIXED,,0.5221103472635868,ESTRECHA,LOW,ESTRECHA
2011-01-28,EXPANSION,MIXED,,0.5107664836300635,CRISIS,NORMAL,ESTRECHA
2011-02-04,EXPANSION,INFLATION SHOCK,,0.41760991829112704,ESTRECHA,ELEVATED,ESTRECHA
2011-02-11,EXPANSION,MIXED,,0.5816176707999967,ESTRECHA,ELEVATED,ESTRECHA
2011-02-18,EXPANSION,MIXED,,0.5720798560344876,NEUTRAL,NORMAL,ESTRECHA
2011-02-25,EXPANSION,MIXED,,0.5111306322769948,CRISIS,ELEVATED,ESTRECHA
2011-03-04,EXPANSION,INFLATION SHOCK,,0.42257358248862564,CRISIS,ELEVATED,ESTRECHA
2011-03-11,EXPANSION,INFLATION SHOCK,,0.41014645435405284,ESTRECHA,ELEVATED,ESTRECHA
2011-03-18,EXPANSION,INFLATION SHOCK,,0.48105024823513765,ESTRECHA,STRESS,ESTRECHA
2011-03-25,EXPANSION,MIXED,,0.6715926234663214,ESTRECHA,STRESS,ESTRECHA
2011-04-01,EXPANSION,INFLATION SHOCK,,0.6239818453572856,NEUTRAL,ELEVATED,ESTRECHA
2011-04-08,EXPANSION,MIXED,,0.5277588030589953,NEUTRAL,ELEVATED,ESTRECHA
2011-04-15,EXPANSION,MIXED,,0.571795166796433,NEUTRAL,NORMAL,ESTRECHA
2011-04-22,EXPANSION,MIXED,,0.4854457437540941,ABUNDANTE,NORMAL,ESTRECHA
2011-04-29,EXPANSION,MIXED,,0.503738486603559,ABUNDANTE,LOW,ESTRECHA
2011-05-06,EXPANSION,INFLATION SHOCK,,0.3718167757435856,ESTRECHA,NORMAL,ESTRECHA
2011-05-13,EXPANSION,MIXED,,0.41745005926461687,NEUTRAL,NORMAL,ESTRECHA
2011-05-20,EXPANSION,MIXED,,0.49552363926402787,NEUTRAL,NORMAL,ESTRECHA
2011-05-27,EXPANSION,MIXED,,0.43587333514102433,ABUNDANTE,NORMAL,ESTRECHA
2011-06-03,EXPANSION,INFLATION SHOCK,,0.502902906520994,ABUNDANTE,ELEVATED,ESTRECHA
2011-06-10,EXPANSION,INFLATION SHOCK,,0.5429333931196156,ESTRECHA,NORMAL,ESTRECHA
2011-06-17,EXPANSION,INFLATION SHOCK,,0.5865812655297673,NEUTRAL,NORMAL,ESTRECHA
2011-06-24,EXPANSION,MIXED,,0.6016097318274691,ESTRECHA,ELEVATED,ESTRECHA
2011-07-01,EXPANSION,MIXED,,0.43864552186255035,NEUTRAL,NORMAL,ESTRECHA
2011-07-08,EXPANSION,MIXED,,0.4296712263516972,NEUTRAL,NORMAL,ESTRECHA
2011-07-15,EXPANSION,MIXED,,0.5674193416978983,ESTRECHA,NORMAL,ESTRECHA
2011-07-22,EXPANSION,MIXED,,0.5083776365197872,ESTRECHA,NORMAL,ESTRECHA
2011-07-29,EXPANSION,MIXED,,0.4893528978280398,ESTRECHA,NORMAL,ESTRECHA
2011-08-05,MIXED,INFLATION SHOCK,,0.3270960570767749,NEUTRAL,STRESS,ESTRECHA
2011-08-12,MIXED,MIXED,,0.34246993071594656,ESTRECHA,STRESS,ESTRECHA
2011-08-19,MIXED,MIXED,,0.39083109237250024,NEUTRAL,STRESS,ESTRECHA
2011-08-26,MIXED,MIXED,,0.5054170503896598,NEUTRAL,STRESS,ESTRECHA
2011-09-02,MIXED,INFLATION SHOCK,,0.5158735930493447,CRISIS,STRESS,ESTRECHA
2011-09-09,MIXED,INFLATION SHOCK,,0.4027646162036246,CRISIS,STRESS,ESTRECHA
2011-09-16,MIXED,MIXED,,0.46612410986723074,ESTRECHA,ELEVATED,ESTRECHA
2011-09-23,MIXED,MIXED,,0.5025071451141674,ESTRECHA,NORMAL,ESTRECHA
2011-09-30,LIQUIDITY CRISIS,MIXED,,0.6719361105217161,ESTRECHA,ELEVATED,ESTRECHA
2011-10-07,MIXED,INFLATION SHOCK,,0.5087897617915951,ESTRECHA,NORMAL,ESTRECHA
2011-10-14,MIXED,MIXED,,0.6128211318980061,NEUTRAL,ELEVATED,ESTRECHA
2011-10-21,MIXED,MIXED,,0.41293392691405384,NEUTRAL,ELEVATED,ESTRECHA
2011-10-28,MIXED,MIXED,,0.40631336434824683,ESTRECHA,ELEVATED,ESTRECHA
2011-11-04,MIXED,MIXED,,0.45065893103245935,NEUTRAL,STRESS,ESTRECHA
2011-11-11,MIXED,MIXED,,0.41871889365189796,NEUTRAL,STRESS,ESTRECHA
2011-11-18,MIXED,MIXED,,0.4902409136105391,NEUTRAL,STRESS,ESTRECHA
2011-11-25,MIXED,MIXED,,0.5099388445032197,ESTRECHA,STRESS,ESTRECHA
2011-12-02,MIXED,MIXED,,0.5085971314387943,ESTRECHA,ELEVATED,ESTRECHA
2011-12-09,MIXED,MIXED,,0.5592510377779789,NEUTRAL,NORMAL,ESTRECHA
2011-12-16,MIXED,MIXED,,0.5353568942515379,NEUTRAL,LOW,ESTRECHA
2011-12-23,MIXED,MIXED,,0.6879672790725918,NEUTRAL,LOW,ESTRECHA
2011-12-30,MIXED,MIXED,,0.6284827409679526,NEUTRAL,NORMAL,ESTRECHA
2012-01-06,MIXED,MIXED,,0.5232456324706913,NEUTRAL,LOW,ESTRECHA
2012-01-13,MIXED,INFLATION SHOCK,,0.62559261841107,NEUTRAL,LOW,ESTRECHA
2012-01-20,MIXED,MIXED,,0.6071564992520273,NEUTRAL,LOW,ESTRECHA
2012-01-27,MIXED,MIXED,,0.5189570644602509,ABUNDANTE,LOW,ESTRECHA
2012-02-03,MIXED,MIXED,,0.5768765152069983,NEUTRAL,LOW,ESTRECHA
2012-02-10,MIXED,MIXED,,0.5493055501702458,ESTRECHA,NORMAL,ESTRECHA
2012-02-17,MIXED,MIXED,,0.5638241941680033,NEUTRAL,NORMAL,ESTRECHA
2012-02-24,MIXED,MIXED,,0.5603679221117714,NEUTRAL,NORMAL,ESTRECHA
2012-03-02,MIXED,MIXED,,0.6134305801503084,ESTRECHA,NORMAL,ESTRECHA
2012-03-09,MIXED,MIXED,,0.5452149782380247,ESTRECHA,NORMAL,ESTRECHA
2012-03-16,MIXED,MIXED,,0.4016265545388853,NEUTRAL,NORMAL,ESTRECHA
2012-03-23,MIXED,MIXED,,0.4323563593945212,NEUTRAL,NORMAL,ESTRECHA
2012-03-30,MIXED,MIXED,,0.5263617038666748,NEUTRAL,NORMAL,ESTRECHA
2012-04-06,MIXED,MIXED,,0.5587320495741737,ESTRECHA,LOW,ESTRECHA
2012-04-13,MIXED,INFLATION SHOCK,,0.49701461812108816,ESTRECHA,NORMAL,ESTRECHA
2012-04-20,MIXED,INFLATION SHOCK,,0.4567242258141715,NEUTRAL,NORMAL,ESTRECHA
2012-04-27,MIXED,MIXED,,0.5642219131639452,NEUTRAL,NORMAL,ESTRECHA
2012-05-04,MIXED,MIXED,,0.4092487487336687,CRISIS,NORMAL,ESTRECHA
2012-05-11,MIXED,MIXED,,0.6253018155268912,ESTRECHA,LOW,ESTRECHA
2012-05-18,MIXED,MIXED,,0.48030125793159917,ESTRECHA,NORMAL,ESTRECHA
2012-05-25,MIXED,MIXED,,0.6132285075961548,ESTRECHA,NORMAL,ESTRECHA
2012-06-01,MIXED,MIXED,,0.33947646533944775,NEUTRAL,NORMAL,ESTRECHA
2012-06-08,MIXED,MIXED,,0.5607788751730691,ESTRECHA,NORMAL,ESTRECHA
2012-06-15,MIXED,MIXED,,0.5232319239489813,NEUTRAL,ELEVATED,ESTRECHA
2012-06-22,MIXED,MIXED,,0.6874118058463774,NEUTRAL,ELEVATED,ESTRECHA
2012-06-29,MIXED,MIXED,,0.5712746651400764,ABUNDANTE,ELEVATED,ESTRECHA
2012-07-06,MIXED,MIXED,,0.5284261217584695,NEUTRAL,ELEVATED,ESTRECHA
2012-07-13,MIXED,MIXED,,0.48848167445920365,ABUNDANTE,ELEVATED,ESTRECHA
2012-07-20,MIXED,MIXED,,0.6059906124932068,ABUNDANTE,NORMAL,ESTRECHA
2012-07-27,MIXED,MIXED,,0.5067032114435412,ABUNDANTE,NORMAL,ESTRECHA
2012-08-03,MIXED,MIXED,,0.45720408184667394,ABUNDANTE,NORMAL,ESTRECHA
2012-08-10,MIXED,MIXED,,0.3931798036070413,ABUNDANTE,NORMAL,ESTRECHA
2012-08-17,MIXED,MIXED,,0.33488360570572606,ESTRECHA,NORMAL,ESTRECHA
2012-08-24,MIXED,MIXED,,0.42988395803554824,ESTRECHA,NORMAL,ESTRECHA
2012-08-31,EXPANSION,MIXED,,0.4533582281509694,NEUTRAL,LOW,ESTRECHA
2012-09-07,EXPANSION,MIXED,,0.4564435890400732,NEUTRAL,NORMAL,ESTRECHA
2012-09-14,EXPANSION,MIXED,,0.4552749185736077,NEUTRAL,NORMAL,ESTRECHA
2012-09-21,EXPANSION,MIXED,,0.5420575083475662,NEUTRAL,NORMAL,ESTRECHA
2012-09-28,EXPANSION,MIXED,,0.655667369731433,NEUTRAL,NORMAL,ESTRECHA
