sector,corr_simpl_full,ic20_simpl,ic60_simpl,ic20_full,ic60_full,mean_simpl,std_simpl,mean_full,std_full,n
XLK,0.5935714285714285,0.2443877551020408,-0.09346938775510204,0.34295918367346934,0.10367346938775508,0.003988827269049823,0.014465242160087337,-0.07586556482557225,0.3047733309149378,49
XLF,0.4690816326530612,0.053775510204081625,-0.0683673469387755,0.10918367346938775,-0.04061224489795918,8.536183625412717e-05,0.008765954726177421,-0.0762254216988808,0.2577512967092667,49
XLV,0.1556122448979592,-0.1796938775510204,-0.07816326530612244,-0.13683673469387753,0.062346938775510195,0.001597367904463874,0.009343063298882513,0.017616274282902716,0.3161837804561946,49
XLE,0.6292857142857142,-0.009081632653061224,-0.05061224489795918,0.00836734693877551,0.018163265306122448,0.004092037872315704,0.014413667314887427,-0.03265833630608435,0.26017251262161933,49
XLY,0.07714285714285714,-0.05357142857142857,-0.17785714285714285,-0.1104081632653061,-0.06612244897959184,0.001015732697285783,0.01036228661770702,-0.007743304785147683,0.24064085298934373,49
XLP,0.6408163265306122,-0.0570408163265306,-0.04581632653061224,0.07653061224489796,0.047346938775510196,0.0009275550776700332,0.008963887486709532,0.030053456581333408,0.3365456684544766,49
XLI,0.23112244897959183,0.030306122448979587,-0.18469387755102037,0.022857142857142854,-0.16459183673469385,0.00208874327068977,0.007910162802907177,0.06218446875637663,0.33404926952380326,49
XLB,0.21755102040816326,0.036224489795918365,-0.1170408163265306,0.17357142857142857,-0.11102040816326529,0.0020755132147813123,0.010242691839939866,0.007822312470575564,0.2756954240507792,49
XLRE,0.31133447291949295,-0.34949871181555664,-0.16561646986179515,-0.34928571428571425,-0.024591836734693878,0.0009326619921943919,0.00942186845689478,-0.02424872525660107,0.28271806684507406,49
XLU,0.5557142857142857,-0.03377551020408163,-0.1143877551020408,0.12959183673469385,0.07153061224489796,0.0013800908448935254,0.008822959845423198,-0.007155212185498698,0.2456389206112375,49
XLC,0.37724489795918364,-0.12142857142857141,-0.017653061224489792,-0.2554081632653061,-0.23479591836734692,0.001620922887676213,0.009037167079646427,-0.02744557391644353,0.2954455480239349,49
