date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2002-06-24,40.740434,12944080.0,,527347442.18,,,,,
2002-06-25,41.755807,12944080.0,0.0,540490504.82,0.0,0.0,,,
2002-06-26,40.426153,15444080.0,2500000.0,624344735.02,101065382.5,0.16187432492205212,,,
2002-06-27,41.802487,15444080.0,0.0,645600946.32,0.0,0.0,,,
2002-06-28,42.866406,15844080.0,400000.0,679178769.83,17146562.4,0.025246022345916115,,,
2002-07-01,43.628526,15844080.0,0.0,691253853.42,0.0,0.0,,23642388.98,
2002-07-02,42.3931,15844080.0,0.0,671679675.67,0.0,0.0,,23642388.98,
2002-07-03,41.50798,15844080.0,0.0,657655751.54,0.0,0.0,,3429312.4799999995,
2002-07-04,41.733324,15844080.0,0.0,661226122.41,0.0,0.0,,3429312.4799999995,
2002-07-05,43.431273,15844080.0,0.0,688128566.67,0.0,0.0,,0.0,
2002-07-08,43.862017,15844080.0,0.0,694953302.82,0.0,0.0,,0.0,
2002-07-09,43.450625,15844080.0,0.0,688435179.63,0.0,0.0,,0.0,
2002-07-10,42.783073,15845956.0,1876.0,677938691.3,80261.04494800001,0.00011838982783840414,,16052.208989600002,
2002-07-11,40.850184,15845956.0,0.0,647310217.17,0.0,0.0,,16052.208989600002,
2002-07-12,40.738701,15845956.0,0.0,645543670.84,0.0,0.0,,16052.208989600002,
2002-07-15,39.833797,15845956.0,0.0,631204590.35,0.0,0.0,,16052.208989600002,
2002-07-16,38.762763,15845956.0,0.0,614233038.15,0.0,0.0,,16052.208989600002,
2002-07-17,40.506525,15845956.0,0.0,641864613.2,0.0,0.0,,0.0,
2002-07-18,40.192665,15845956.0,0.0,636891205.56,0.0,0.0,,0.0,
2002-07-19,39.057001,15845956.0,0.0,618895512.22,0.0,0.0,,0.0,
2002-07-22,37.769475,15847556.0,1600.0,598553874.24,60431.16,0.00010096193943566245,-0.2550090174462778,12086.232,5917631.8552474
2002-07-23,36.289884,15847556.0,0.0,575105971.94,0.0,0.0,-0.2514714916062449,12086.232,5917631.8552474
2002-07-24,32.846005,17847556.0,2000000.0,586220921.0,65692009.99999999,0.11206015965438394,2.400477249993751,13150488.231999997,4148963.2302473993
2002-07-25,35.076305,17847556.0,0.0,626026312.06,0.0,0.0,-0.3240531633375813,13150488.231999997,4148963.2302473993
2002-07-26,35.418855,18447556.0,600000.0,653391316.03,21251313.0,0.03252463336844266,0.4734111173704703,17400750.832,4354200.7602474
2002-07-29,36.748865,18449100.0,1544.0,677983482.91,56740.24756,8.3689719573201e-05,-0.34051423837363615,17400012.649512,4357037.7726254
2002-07-30,37.530161,18449100.0,0.0,692397700.14,0.0,0.0,-0.33550007931094256,17400012.649512,4357037.7726254
2002-07-31,37.685561,18449100.0,0.0,695264678.11,0.0,0.0,-0.328760354213651,4261610.649511999,4357037.7726254
2002-08-01,36.936669,18449100.0,0.0,681448290.78,0.0,0.0,-0.322412348332468,4261610.649511999,4357037.7726254
2002-08-02,35.475733,18449100.0,0.0,654495337.39,0.0,0.0,-0.3164194298349019,11348.049512000001,4357037.7726254
2002-08-05,33.969956,18451000.0,1900.0,626779666.55,64542.91640000001,0.00010297544710610238,-0.30796402521626404,12908.583280000003,4360264.918445399
2002-08-06,34.571826,18451000.0,0.0,637884756.41,0.0,0.0,-0.3054785730536066,12908.583280000003,4360264.918445399
2002-08-07,35.116268,19951000.0,1500000.0,700604653.23,52674402.0,0.0751842023274539,1.7189532558387488,10547788.98328,6989971.966198
