date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2000-04-27,10.0,9703200.0,,60000000.0,,,,,
2000-04-28,10.2394,9703155.0,-45.0,61436112.18,-460.77299999999997,-7.500035136500722e-06,,,
2000-05-02,10.3148,10835223.0,1132068.0,69109050.17,11677055.0064,0.16896564165873848,,,
2000-05-03,10.0097,10835203.0,-20.0,67064760.97,-200.19400000000002,-2.9850848210664996e-06,,,
2000-05-04,10.0334,10835235.0,32.0,67223751.39,321.0688,4.776121435671042e-06,,,
2000-05-05,10.0968,12452500.0,1617265.0,77745735.91,16329201.252,0.21003340004271112,,5601183.27204,
2000-05-08,10.0629,12452460.0,-40.0,77484451.95,-402.516,-5.1947970188876065e-06,,5601194.92344,
2000-05-09,9.9131,12452485.0,25.0,76331144.34,247.8275,3.246741577672514e-06,,3265833.48766,
2000-05-10,9.8756,12452465.0,-20.0,76042272.41,-197.512,-2.597397391480716e-06,,3265834.02406,
2000-05-11,10.1105,12452466.0,1.0,77851014.97,10.1105,1.2986985466915358e-07,,3265771.8324,
2000-05-12,10.1715,12452444.0,-22.0,78320576.93,-223.773,-2.8571418747336337e-06,,-113.17260000000002,
2000-05-15,10.1192,12452436.0,-8.0,77917812.05,-80.9536,-1.0389614116481085e-06,,-48.86012,
2000-05-16,10.2336,12452453.0,17.0,78798804.4,173.97119999999998,2.207789843065182e-06,,-63.631380000000014,
2000-05-17,10.0358,12452405.0,-48.0,77275443.51,-481.7184,-6.233783697891842e-06,,-120.47265999999999,
2000-05-18,10.0952,12452439.0,34.0,77733032.15,343.2368,4.415584861499578e-06,,-53.84739999999999,
2000-05-19,9.7915,12452443.0,4.0,75394569.13,39.166,5.194803876717904e-07,,-1.2595999999999947,
2000-05-22,9.7762,12452481.0,38.0,75276986.99,371.49559999999997,4.935048742710046e-06,,89.23024000000001,
2000-05-23,9.8586,12452454.0,-27.0,75911302.77,-266.18219999999997,-3.506489683183183e-06,,1.1995600000000195,
2000-05-24,9.9101,12452419.0,-35.0,76307639.93,-346.8535,-4.545462293397913e-06,,28.172540000000016,
2000-05-25,10.0919,12452476.0,57.0,77707851.93,575.2383000000001,7.4025762611245564e-06,,74.57284000000003,
2000-05-26,10.0688,12452441.0,-35.0,77529769.15,-352.40799999999996,-4.545454009003714e-06,-0.32285913522048454,-3.7419599999999607,1400266.27447
2000-05-30,10.3031,12452421.0,-20.0,79333749.65,-206.062,-2.5974065376853142e-06,-0.31461971852874804,-119.25347999999994,1400279.01002
2000-05-31,10.3026,12452461.0,40.0,79330156.02,412.104,5.1947962877585176e-06,-0.30687894708144264,16.403760000000034,816446.8649
2000-06-01,10.4824,12452480.0,19.0,80714739.79,199.1656,2.4675245254854337e-06,-0.29984902624494403,125.60758000000003,816466.83288
2000-06-02,10.7346,12452450.0,-30.0,82656483.23,-322.038,-3.896100915688571e-06,-0.29335269055620716,-53.84767999999999,816434.6775400001
2000-06-05,10.6094,12452454.0,4.0,81692470.97,42.4376,5.194799410044091e-07,-0.2870803368565183,25.12144,-23.263179999999995
2000-06-06,10.6109,12452470.0,16.0,81704124.16,169.7744,2.0779171399907953e-06,-0.2812381114306268,100.28872000000001,5.351340000000009
2000-06-07,10.5415,12452385.0,-85.0,81169192.93,-896.0274999999999,-1.1039009600264604e-05,-0.2760128915456928,-161.33757999999997,-51.84140999999998
2000-06-08,10.5295,12452421.0,36.0,81077025.24,379.062,4.6753318696377966e-06,-0.2705408752472389,-125.35829999999999,-23.012709999999988
2000-06-09,10.444,12452444.0,23.0,80418824.84,240.21200000000002,2.987012064375747e-06,-0.26569078720805467,-12.90829999999998,-11.507634999999983
2000-06-12,10.4263,12452500.0,56.0,80282894.32,583.8728,7.272692457657773e-06,-0.2609771751190568,95.37874000000002,28.87465500000002
2000-06-13,10.4524,12452426.0,-74.0,80483392.54,-773.4776,-9.61040005384445e-06,-0.2569270103540949,-93.27166,-5.751544999999988
2000-06-14,10.5966,12452493.0,67.0,81594165.63,709.9722,8.701261842905128e-06,-0.2523656326984904,227.92828,21.048505000000013
2000-06-15,10.5228,12452393.0,-100.0,81025256.12,-1052.28,-1.298706169396802e-05,-0.24884091561149685,-58.34012,-7.479574999999988
2000-06-16,10.5794,12452489.0,96.0,81461703.62,1015.6224,1.2467482938211597e-05,-0.24449532554275943,96.74195999999999,26.13970500000001
2000-06-19,10.5221,12452402.0,-87.0,81019920.31,-915.4227,-1.1298736119430774e-05,-0.2413829135735777,-203.11714,-21.58972999999999
2000-06-20,10.5814,12452437.0,35.0,81476760.64,370.349,4.5454556255171215e-06,-0.23755868536887786,25.648180000000014,-21.647059999999986
2000-06-21,10.5017,12452400.0,-37.0,80862832.05,-388.5629,-4.805210133621582e-06,-0.23444105144988175,-194.05883999999998,-27.76609499999999
2000-06-22,10.3981,12452500.0,100.0,80065752.65,1039.81,1.2986950919520268e-05,-0.23084754449255498,224.35915999999997,41.56708000000001
2000-06-23,10.362,12452471.0,-29.0,79787596.81,-300.498,-3.766224476162412e-06,-0.2281704981854806,-38.86492000000002,-2.2197349999999942
2000-06-26,10.3838,12452411.0,-60.0,79955075.95,-623.028,-7.792225729228389e-06,-0.22531718689870925,19.614019999999982,-15.750734999999997
2000-06-27,10.3354,12452457.0,46.0,79582685.81,475.4284,5.974018031196678e-06,-0.22215822113150882,40.629899999999964,18.323785000000004
2000-06-28,10.2354,12452427.0,-30.0,78812497.09,-307.062,-3.89610799476827e-06,-0.2196649269543227,56.930079999999975,-17.634514999999997
