date,nav,shares_outstanding,ex_dividends,shares_change,primary_flow_usd,estimated_aum_usd,primary_flow_pct,primary_flow_z,flow_5d,flow_20d,isin,ticker,currency,source,estimated_net_assets_usd,primary_flow_5d,primary_flow_20d,primary_flow_pct_5d,primary_flow_pct_20d
2000-05-22,47.167,300000.0,,,,,,,,,,,,,14150100.0,,,,
2000-05-23,45.911266,300000.0,,0.0,0.0,,0.0,,,,,,,,13773379.799999999,,,,
2000-05-24,46.18,300000.0,,0.0,0.0,,0.0,,,,,,,,13854000.0,,,,
2000-05-25,45.621414,300000.0,,0.0,0.0,,0.0,,,,,,,,13686424.200000001,,,,
2000-05-26,45.744157,300000.0,,0.0,0.0,,0.0,,,,,,,,13723247.1,,,,
2000-05-30,47.67876,4500000.0,,4200000.0,200250792.0,,93.33333333333333,,,,,,,,214554420.0,40050158.4,,18.666666666666664,
2000-05-31,47.625605,4500000.0,,0.0,0.0,,0.0,,,,,,,,214315222.5,40050158.4,,18.666666666666664,
2000-06-01,49.225951,4500000.0,,0.0,0.0,,0.0,,,,,,,,221516779.5,40050158.4,,18.666666666666664,
2000-06-02,51.283475,4500000.0,,0.0,0.0,,0.0,,,,,,,,230775637.5,40050158.4,,18.666666666666664,
2000-06-05,51.306801,4500000.0,,0.0,0.0,,0.0,,,,,,,,230880604.5,40050158.4,,18.666666666666664,
2000-06-06,51.146748,4500000.0,,0.0,0.0,,0.0,,,,,,,,230160366.0,0.0,,0.0,
2000-06-07,51.622712,4500000.0,,0.0,0.0,,0.0,,,,,,,,232302204.0,0.0,,0.0,
2000-06-08,51.439067,4500000.0,,0.0,0.0,,0.0,,,,,,,,231475801.5,0.0,,0.0,
2000-06-09,52.289424,4500000.0,,0.0,0.0,,0.0,,,,,,,,235302408.0,0.0,,0.0,
2000-06-12,50.825163,4500000.0,,0.0,0.0,,0.0,,,,,,,,228713233.50000003,0.0,,0.0,
2000-06-13,51.35828,4500000.0,,0.0,0.0,,0.0,,,,,,,,231112260.0,0.0,,0.0,
2000-06-14,50.956009,4500000.0,,0.0,0.0,,0.0,,,,,,,,229302040.5,0.0,,0.0,
2000-06-15,51.213533,4500000.0,,0.0,0.0,,0.0,,,,,,,,230460898.5,0.0,,0.0,
2000-06-16,51.358195,4500000.0,,0.0,0.0,,0.0,,,,,,,,231111877.5,0.0,,0.0,
2000-06-19,52.27757,4500000.0,,0.0,0.0,,0.0,,,,,,,,235249065.0,0.0,,0.0,
2000-06-20,52.582552,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,236621484.0,0.0,10012539.6,0.0,4.666666666666666
2000-06-21,52.751242,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,237380589.0,0.0,10012539.6,0.0,4.666666666666666
2000-06-22,51.487511,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,231693799.5,0.0,10012539.6,0.0,4.666666666666666
2000-06-23,51.018196,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,229581882.0,0.0,10012539.6,0.0,4.666666666666666
2000-06-26,51.611983,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,232253923.5,0.0,10012539.6,0.0,4.666666666666666
2000-06-27,50.78503,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,228532635.0,0.0,0.0,0.0,0.0
2000-06-28,52.10157,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,234457065.0,0.0,0.0,0.0,0.0
2000-06-29,51.276076,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,230742342.00000003,0.0,0.0,0.0,0.0
2000-06-30,51.74149,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,232836705.0,0.0,0.0,0.0,0.0
2000-07-03,52.362881,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,235632964.5,0.0,0.0,0.0,0.0
2000-07-05,51.77473,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,232986285.0,0.0,0.0,0.0,0.0
2000-07-06,52.295971,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,235331869.5,0.0,0.0,0.0,0.0
2000-07-07,52.789397,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,237552286.5,0.0,0.0,0.0,0.0
2000-07-10,53.054412,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,238744854.0,0.0,0.0,0.0,0.0
2000-07-11,52.946813,4500000.0,,0.0,0.0,,0.0,0.0,,,,,,,238260658.5,0.0,0.0,0.0,0.0
