date,contract,participant,net_position,position_change,flow_z
2026-09-15,VIX FUTURES - CBOE FUTURES EXCHANGE,dealer,62801,9907.0,1.019028213042455
2026-09-15,VIX FUTURES - CBOE FUTURES EXCHANGE,lev_money,-16504,6766.0,0.4362372821243181
2026-09-15,VIX FUTURES - CBOE FUTURES EXCHANGE,asset_mgr,-52658,-15245.0,-1.4102987544726933
2026-09-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,asset_mgr,906654,-7788.0,-0.2866898446378034
2026-09-15,DJIA Consolidated - CHICAGO BOARD OF TRADE,lev_money,-1598,1875.0,0.38896283461252185
2026-09-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,lev_money,-311831,50256.0,0.9673654041677263
2026-09-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,dealer,-69952,-12349.0,-0.8316187646169325
2026-09-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,dealer,-681795,-18973.0,-0.3647983999294168
2026-09-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,asset_mgr,67788,-8772.0,-1.408505102009204
2026-09-15,DJIA Consolidated - CHICAGO BOARD OF TRADE,dealer,-12442,-1006.0,-0.12061740132991451
2026-09-15,DJIA Consolidated - CHICAGO BOARD OF TRADE,asset_mgr,7934,-657.0,-0.19262557064119562
2026-09-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,lev_money,-13052,23834.0,1.8684442171235038
