Date,nav,shares_outstanding,total_net_assets,primary_flow_usd,primary_flow_pct,primary_flow_z,ticker
2005-12-30,42.197789,2850035.0,120265176.07,,,,FEZ
2006-02-21,44.988614,4300036.0,193452658.57,65233535.288614,33.72067138845214,,FEZ
2006-02-22,45.366651,4300036.0,195078231.24,0.0,0.0,,FEZ
2006-02-23,45.472523,4300036.0,195533487.21,0.0,0.0,,FEZ
2006-02-24,45.419677,4300036.0,195306247.77,0.0,0.0,,FEZ
2006-02-27,45.549628,4300036.0,195865042.06,0.0,0.0,,FEZ
2006-02-28,45.013686,4300036.0,193560469.87,0.0,0.0,,FEZ
2006-03-01,45.431304,4300036.0,195356244.83,0.0,0.0,,FEZ
2006-03-02,45.124592,4300036.0,194037371.37,0.0,0.0,,FEZ
2006-03-03,44.87233,4300036.0,192952636.05,0.0,0.0,,FEZ
2006-03-06,45.105407,4300036.0,193954875.29,0.0,0.0,,FEZ
2006-03-07,44.534463,4300036.0,191499792.51,0.0,0.0,,FEZ
2006-03-08,44.45339,4300036.0,191151177.45,0.0,0.0,,FEZ
2006-03-09,44.814014,3550036.0,159091364.29,-33610510.5,-21.126546151639644,,FEZ
2006-03-10,45.146042,3550036.0,160270073.49,0.0,0.0,,FEZ
2006-03-13,45.636668,3550036.0,162011816.03,0.0,0.0,,FEZ
2006-03-14,46.090034,3550036.0,163621280.6,0.0,0.0,,FEZ
2006-03-15,46.256398,3550036.0,164211878.55,0.0,0.0,,FEZ
2006-03-16,46.686948,3550036.0,165740347.44,0.0,0.0,,FEZ
2006-03-17,46.613518,3550036.0,165479665.78,0.0,0.0,,FEZ
2006-03-20,46.738011,3550036.0,165921623.27,0.0,0.0,,FEZ
2006-03-21,46.495603,3550036.0,165061066.14,0.0,0.0,,FEZ
2006-03-22,46.724942,3550036.0,165875224.59,0.0,0.0,,FEZ
2006-03-23,46.222791,3950036.0,182581689.12,18489116.4,10.126489950395962,,FEZ
2006-03-24,46.466636,3950036.0,183544884.42,0.0,0.0,,FEZ
2006-03-27,46.015931,3950036.0,181764585.26,0.0,0.0,,FEZ
2006-03-28,46.020453,3950036.0,181782446.58,0.0,0.0,,FEZ
2006-03-29,45.873742,3950036.0,181202933.25,0.0,0.0,,FEZ
2006-03-30,46.998682,3950039.0,185646625.33,140.996046,7.594861783744766e-05,,FEZ
2006-03-31,46.629746,3950039.0,184189314.74,0.0,0.0,,FEZ
2006-04-03,46.979705,3950039.0,185571665.85,0.0,0.0,,FEZ
2006-04-04,47.200172,4350039.0,205322586.84,18880068.8,9.195319955087315,,FEZ
2006-04-05,47.399859,4350039.0,206191236.31,0.0,0.0,,FEZ
2006-04-06,47.216343,4350039.0,205392933.14,0.0,0.0,,FEZ
2006-04-07,46.303782,4350039.0,201423258.58,0.0,0.0,,FEZ
2006-04-10,46.528571,4350039.0,202401099.17,0.0,0.0,,FEZ
2006-04-11,45.954339,4550039.0,209094033.77,9190867.799999999,4.395566738221619,,FEZ
2006-04-12,45.745806,4550039.0,208145200.12,0.0,0.0,,FEZ
2006-04-13,45.725797,4550039.0,208054159.69,0.0,0.0,,FEZ
2006-04-17,46.451777,4550039.0,211357398.82,0.0,0.0,,FEZ
2006-04-18,46.363603,4550039.0,210956201.1,0.0,0.0,,FEZ
2006-04-19,47.171357,4550039.0,214631513.77,0.0,0.0,,FEZ
2006-04-20,47.562338,4550039.0,216410491.1,0.0,0.0,,FEZ
2006-04-21,48.035489,4550039.0,218563348.87,0.0,0.0,,FEZ
2006-04-24,47.85226,4550039.0,217729650.75,0.0,0.0,,FEZ
2006-04-25,48.107729,4550039.0,218892044.77,0.0,0.0,,FEZ
2006-04-26,48.448228,4550039.0,220441327.09,0.0,0.0,,FEZ
2006-04-27,48.585935,4550039.0,221067897.04,0.0,0.0,,FEZ
2006-04-28,48.484888,4550039.0,220608132.22,0.0,0.0,,FEZ
2006-05-01,48.569178,4550039.0,220991654.69,0.0,0.0,,FEZ
2006-05-02,49.010746,4550039.0,223000805.98,0.0,0.0,,FEZ
2006-05-03,48.377976,4550039.0,220121676.4,0.0,0.0,,FEZ
