date,nav
2016-07-14,111.966065
2016-07-15,111.80213
2016-07-18,112.528108
2016-07-19,112.128423
2016-07-20,113.440068
2016-07-21,113.190647
2016-07-22,113.654383
2016-07-25,113.650278
2016-07-26,113.800156
2016-07-27,114.548444
2016-07-28,115.010123
2016-07-29,115.222931
2016-08-01,115.850396
2016-08-02,114.960719
2016-08-03,115.354994
2016-08-04,115.650702
2016-08-05,116.802411
2016-08-08,116.644385
2016-08-09,116.913373
2016-08-10,116.619527
2016-08-11,117.104422
2016-08-12,117.194083
2016-08-15,117.696957
2016-08-16,117.029246
2016-08-17,117.238285
2016-08-18,117.318873
2016-08-19,117.257702
2016-08-22,117.31595
2016-08-23,117.563342
2016-08-24,116.729005
2016-08-25,116.53218
2016-08-26,116.731519
2016-08-29,116.932
2016-08-30,116.564053
2016-08-31,116.444301
2016-09-01,116.757244
2016-09-02,117.114981
2016-09-05,117.114981
2016-09-06,117.863274
2016-09-07,117.924882
2016-09-08,117.246065
2016-09-09,114.263489
2016-09-12,116.294027
2016-09-13,115.275812
2016-09-14,115.853723
2016-09-15,117.654077
2016-09-16,117.31346
2016-09-19,116.781795
2016-09-20,117.003813
2016-09-21,118.185878
2016-09-22,119.102168
2016-09-23,118.310332
2016-09-26,117.293785
2016-09-27,118.498831
2016-09-28,118.716156
2016-09-29,117.81666
2016-09-30,118.724722
2016-10-03,118.544882
2016-10-04,118.370003
2016-10-05,118.817254
2016-10-06,118.723509
2016-10-07,118.492751
2016-10-10,119.20387
2016-10-11,117.45443
2016-10-12,117.398307
2016-10-13,116.995293
2016-10-14,117.124373
2016-10-17,116.824004
2016-10-18,117.88329
2016-10-19,117.807044
2016-10-20,117.711489
2016-10-21,118.177472
2016-10-24,119.591019
2016-10-25,119.139786
2016-10-26,118.388051
2016-10-27,117.79976
2016-10-28,117.050379
2016-10-31,116.944538
2016-11-01,116.108295
2016-11-02,115.137557
2016-11-03,114.0755
2016-11-04,113.621521
2016-11-07,116.378811
2016-11-08,117.137119
2016-11-09,117.63031
2016-11-10,115.727615
2016-11-11,115.845525
2016-11-14,114.646076
2016-11-15,116.248933
2016-11-16,116.926481
2016-11-17,117.763658
2016-11-18,117.313103
2016-11-21,118.555024
2016-11-22,118.92324
2016-11-23,118.437278
2016-11-24,118.437278
2016-11-25,118.828477
2016-11-28,118.531527
2016-11-29,118.926822
2016-11-30,117.425736
2016-12-01,115.558045
2016-12-02,115.684538
2016-12-05,116.628507
2016-12-06,116.884133
2016-12-07,118.428638
2016-12-08,118.604336
2016-12-09,119.495943
2016-12-12,118.971033
2016-12-13,120.482355
2016-12-14,120.134876
2016-12-15,120.430776
2016-12-16,119.622642
2016-12-19,120.112315
2016-12-20,120.572945
2016-12-21,120.453097
2016-12-22,120.099244
2016-12-23,120.233672
2016-12-26,120.233672
2016-12-27,120.860469
2016-12-28,119.907574
2016-12-29,119.712153
2016-12-30,118.393035
2017-01-02,118.393035
2017-01-03,119.553492
2017-01-04,120.2098
2017-01-05,120.884366
2017-01-06,121.909291
2017-01-09,122.34235
2017-01-10,122.591557
2017-01-11,122.95696
2017-01-12,122.742536
2017-01-13,123.179906
2017-01-16,123.179906
2017-01-17,122.817685
2017-01-18,123.089542
2017-01-19,122.974893
2017-01-20,123.26559
2017-01-23,123.325811
2017-01-24,124.185713
2017-01-25,125.411662
2017-01-26,125.543626
2017-01-27,125.823109
2017-01-30,124.886688
2017-01-31,124.581431
2017-02-01,125.454658
2017-02-02,125.332479
2017-02-03,125.695453
2017-02-06,125.851442
2017-02-07,126.294515
2017-02-08,126.558947
2017-02-09,127.00268
2017-02-10,127.356038
2017-02-13,128.117147
2017-02-14,128.532422
2017-02-15,129.295084
2017-02-16,129.253316
2017-02-17,129.838973
2017-02-20,129.838973
2017-02-21,130.471252
2017-02-22,130.511821
2017-02-23,130.030758
2017-02-24,130.298529
2017-02-27,130.417411
2017-02-28,129.998919
2017-03-01,131.492383
2017-03-02,130.816655
2017-03-03,131.063276
