date,macro_regime,macro_score,macro_conf,liquidity_regime,volatility_regime,sector_regime
2026-06-22,RECOVERY,0.2196482780780387,0.4814644791785949,NEUTRAL,STRESS,CYCLICAL LEADERSHIP
2026-06-23,RECOVERY,0.2360735005920449,0.5132145571508255,ESTRECHA,STRESS,NARROW RALLY
2026-07-13,MIXED,-0.1215234613368686,0.7160957310738001,ESTRECHA,NORMAL,MIXED
2026-07-14,MIXED,-0.1826436257800979,0.7267918347218304,ESTRECHA,NORMAL,MIXED
2026-07-15,MIXED,-0.0953336922848736,0.8219410102936834,ESTRECHA,NORMAL,MIXED
2026-07-17,MIXED,-0.0087341859547758,0.633626100035378,CRISIS,NORMAL,BROAD PARTICIPATION
2026-07-22,MIXED,-0.0732091445643382,0.6402740247490953,CRISIS,NORMAL,NARROW RALLY
2026-07-23,MIXED,-0.0560910844422479,0.6333027956687044,ESTRECHA,NORMAL,MIXED
2026-07-24,MIXED,-0.0749334155020894,0.5,ESTRECHA,NORMAL,MIXED
2026-07-27,MIXED,-0.1069465338567581,0.5,NEUTRAL,NORMAL,ROTATIONAL
2026-07-28,MIXED,-0.1077623768378578,0.5,NEUTRAL,NORMAL,ROTATIONAL
2026-07-31,MIXED,-0.1238508583751222,0.5,ABUNDANTE,ELEVATED,ROTATIONAL
2026-08-03,MIXED,-0.1264303313614841,0.5,ABUNDANTE,ELEVATED,ROTATIONAL
2026-08-04,MIXED,-0.0905944991540953,0.5,ABUNDANTE,ELEVATED,ROTATIONAL
2026-08-05,MIXED,-0.0477162218307554,0.5,ABUNDANTE,ELEVATED,NARROW RALLY
2026-08-07,MIXED,-0.0692010079386265,0.5,ABUNDANTE,ELEVATED,NARROW RALLY
2026-08-10,MIXED,-0.0540555948156973,0.5,ABUNDANTE,NORMAL,NARROW RALLY
2026-08-11,MIXED,-0.0618663947348121,0.5,ABUNDANTE,NORMAL,NARROW RALLY
2026-08-12,MIXED,-0.0659885534358795,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-13,MIXED,-0.0468849634164483,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-14,MIXED,,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-17,MIXED,-0.022975463980239,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-18,MIXED,-0.0244220051177651,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-20,MIXED,,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-21,MIXED,,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-24,MIXED,0.1024600062561378,0.5,NEUTRAL,NORMAL,ROTATIONAL
2026-08-25,MIXED,,0.5,ABUNDANTE,NORMAL,ROTATIONAL
2026-08-26,MIXED,0.1591030078963126,0.5,NEUTRAL,NORMAL,ROTATIONAL
2026-08-27,MIXED,0.1454493750737876,0.5,ABUNDANTE,LOW,ROTATIONAL
2026-08-28,MIXED,0.1354526343233353,0.5,ABUNDANTE,LOW,ROTATIONAL
2026-08-31,MIXED,0.1178901654427523,0.5,ABUNDANTE,LOW,ROTATIONAL
2026-09-01,MIXED,0.0675301273428801,0.5,NEUTRAL,LOW,ROTATIONAL
2026-09-02,MIXED,0.0581372765053993,0.5,ABUNDANTE,LOW,ROTATIONAL
2026-09-03,MIXED,0.1255871736914426,0.5,ABUNDANTE,LOW,ROTATIONAL
2026-09-04,MIXED,0.1448272091822854,0.5,ABUNDANTE,LOW,ROTATIONAL
2026-09-08,MIXED,,0.5,EXTREME_STRESS,LOW,ROTATIONAL
2026-09-09,MIXED,,0.5,EXTREME_STRESS,LOW,NARROW RALLY
2026-09-10,MIXED,,0.5,EXTREME_STRESS,LOW,NARROW RALLY
2026-09-11,INFLATION SHOCK,0.3410157654789066,0.5,NEUTRAL,NORMAL,NARROW RALLY
2026-09-12,INFLATION SHOCK,0.2842237537459902,0.5,NEUTRAL,NORMAL,NARROW RALLY
