date,total_pcr,index_pcr,equity_pcr,etp_pcr,vix_pcr,spx_pcr,total_call_volume,total_put_volume,total_volume,total_call_oi,total_put_oi,total_oi,index_call_volume,index_put_volume,index_volume,index_call_oi,index_put_oi,index_oi,equity_call_volume,equity_put_volume,equity_volume,equity_call_oi,equity_put_oi,equity_oi
2026-07-22,1.01,1.06,0.67,1.37,0.71,1.14,6031257,6071481,12102738,339998261,255605343,595603604,2511315,2673603,5184918,23077961,19576065,42654026,2033485,1363666,3397151,240905107,152343919,393249026
2026-07-23,0.88,0.86,0.61,1.28,0.29,1.09,7927850,6991884,14919734,342093262,257957465,600050727,3797116,3272568,7069684,20166488,18645200,38811688,2326171,1408920,3735091,244985820,154919659,399905479
2026-07-24,0.99,1.08,0.79,1.13,0.42,1.17,7811723,7760696,15572419,347986427,262788209,610774636,2981238,3222108,6203346,20466378,19003356,39469734,2716358,2149973,4866331,249237075,157291136,406528211
2026-07-27,0.94,1.02,0.66,1.14,0.5,1.07,7018459,6618932,13637391,337360276,255825343,593185619,2748079,2796852,5544931,20750656,18880180,39630836,2197659,1459922,3657581,239829306,151728232,391557538
2026-07-30,0.91,1.0,0.61,1.13,0.35,1.18,7207041,6534406,13741447,355369621,268257851,623627472,3354997,3339012,6694009,21259814,19462792,40722606,2210946,1347105,3558051,252934476,160005878,412940354
2026-07-31,0.91,1.01,0.63,1.05,0.35,1.1,8067191,7343798,15410989,361493746,272777352,634271098,3241941,3270547,6512488,21304961,19864993,41169954,2367222,1480429,3847651,257577587,163080758,420658345
2026-08-03,0.8,0.88,0.55,1.04,0.67,0.9,8445760,6738959,15184719,347703827,263690974,611394801,3680864,3250741,6931605,21313686,19549093,40862779,2991553,1645452,4637005,247576648,156853727,404430375
2026-08-04,0.69,0.78,0.46,0.77,0.33,0.84,9878682,6840806,16719488,357080775,271127820,628208595,4868475,3800163,8668638,21563200,19750202,41313402,2592500,1187856,3780356,254707338,161040833,415748171
2026-08-05,0.88,0.94,0.6,1.18,0.39,1.05,7531539,6625417,14156956,366049828,277479475,643529303,3472885,3268875,6741760,21927211,20222300,42149511,2459217,1475844,3935061,261088986,164994285,426083271
2026-08-06,0.86,1.03,0.57,0.94,0.44,1.15,6530564,5606483,12137047,370895039,281919112,652814151,2782816,2859829,5642645,22059216,20591167,42650383,2088601,1185562,3274163,264756300,167842952,432599252
2026-08-07,0.76,0.98,0.54,0.79,0.29,1.13,7952453,6075839,14028292,376659596,285857865,662517461,2840508,2782510,5623018,22414175,20860108,43274283,2964835,1599633,4564468,269160659,170456543,439617202
2026-08-10,0.86,1.0,0.61,1.04,0.34,1.13,6328180,5449986,11778166,366354890,277522681,643877571,2376252,2364379,4740631,22395607,20671705,43067312,2393068,1469985,3863053,260317832,164592702,424910534
2026-08-11,0.81,0.9,0.63,0.87,0.2,1.15,6095998,4951310,11047308,373120312,282127954,655248266,2878344,2601028,5479372,22657515,20832179,43489694,1868704,1172970,3041674,265052074,167410240,432462314
2026-08-12,0.84,1.03,0.61,0.86,0.53,1.14,6394034,5387272,11781306,378607559,286497472,665105031,2485072,2563670,5048742,23047754,21131167,44178921,2221282,1364951,3586233,269137438,170327145,439464583
2026-08-13,0.79,0.93,0.59,0.83,0.61,0.97,7259056,5710373,12969429,383083173,290882995,673966168,2983302,2774668,5757970,23341598,21412721,44754319,2587098,1533495,4120593,272526356,172742192,445268548
2026-08-14,0.77,0.99,0.52,0.94,0.49,1.12,7256882,5609014,12865896,388532566,295618844,684151410,2519071,2487784,5006855,23572704,21635795,45208499,3168538,1646535,4815073,276717539,175332696,452050235
