filing_date,accession_number,primary_document,source_url,period_type,period_end_date,year,shares_sold,shares_repurchased,net_shares_flow,shares_beginning,shares_end,proceeds_shares_sold,value_shares_repurchased,primary_flow_usd,flow_pct_assets,flow_zscore
2026-06-01,0001193125-26-250483,8deb6f921189c0e.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312526250483/8deb6f921189c0e.htm,SEMIANNUAL,2026-03-31,2026,445700000.0,-444650000.0,1050000.0,641650000.0,642700000.0,271899087413.0,-270834724252.0,1064363161.0,,
2025-10-24,0001193125-25-249697,d29525dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312525249697/d29525dn30b2.htm,ANNUAL,2025-09-30,2025,736650000.0,-698200000.0,38450000.0,603200000.0,641650000.0,382350437994.0,-361627925070.0,20722512924.0,,
2025-10-24,0001193125-25-249697,d29525dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312525249697/d29525dn30b2.htm,ANNUAL,2024-09-30,2024,778400000.0,-723800000.0,54600000.0,548600000.0,603200000.0,333981127592.0,-310552478152.0,23428649440.0,,
2025-10-24,0001193125-25-249697,d29525dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312525249697/d29525dn30b2.htm,ANNUAL,2023-09-30,2023,861600000.0,-866100000.0,-4500000.0,553100000.0,548600000.0,277470162212.0,-277551381651.0,-81219439.0,,
2024-12-27,0001193125-24-285734,d876223dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312524285734/d876223dn30b2.htm,ANNUAL,2022-09-30,2022,988850000.0,-945750000.0,43100000.0,510000000.0,553100000.0,330967819510.0,-315620823242.0,15346996268.0,,
2023-12-28,0001193125-23-304771,d538532dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312523304771/d538532dn30b2.htm,ANNUAL,2021-09-30,2021,819950000.0,-797800000.0,22150000.0,487850000.0,510000000.0,266841591066.0,-257700453113.0,9141137953.0,,
2022-12-29,0001193125-22-313828,d385116dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312522313828/d385116dn30b2.htm,ANNUAL,2020-09-30,2020,929400000.0,-839150000.0,90250000.0,397600000.0,487850000.0,212152487372.0,-192325314221.0,19827173151.0,,
2020-12-23,0001193125-20-326183,d75380dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312520326183/d75380dn30b2.htm,ANNUAL,2019-09-30,2019,805700000.0,-806550000.0,-850000.0,398450000.0,397600000.0,140471265376.0,,,,
2020-12-23,0001193125-20-326183,d75380dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312520326183/d75380dn30b2.htm,ANNUAL,2018-09-30,2018,911400000.0,-871500000.0,39900000.0,358550000.0,398450000.0,151446113315.0,,,,
2019-12-20,0001193125-19-320290,d813945dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312519320290/d813945dn30b2.htm,ANNUAL,2017-09-30,2017,888200000.0,-862650000.0,25550000.0,333000000.0,358550000.0,117962019824.0,-114652657343.0,3309362481.0,,
2018-12-21,0001193125-18-355790,d638310dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312518355790/d638310dn30b2.htm,ANNUAL,2016-09-30,2016,831600000.0,-860050000.0,-28450000.0,361450000.0,,90897588061.0,-93669443359.0,-2771855298.0,,
2018-01-03,0001193125-18-001208,d432220dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312518001208/d432220dn30b2.htm,ANNUAL,2015-09-30,2015,821400000.0,-885750000.0,-64350000.0,425800000.0,,86225545103.0,-92265126607.0,-6039581504.0,,
2016-12-29,0001193125-16-806695,d272217dn30b2.htm,https://www.sec.gov/Archives/edgar/data/1067839/000119312516806695/d272217dn30b2.htm,ANNUAL,2014-09-30,2014,713900000.0,-773500000.0,-59600000.0,485400000.0,,63740600578.0,-69310164621.0,-5569564043.0,,
