ACCESSION_NUMBER,CIK,REGISTRANT_NAME,SERIES_NAME,SERIES_ID,TOTAL_ASSETS,NET_ASSETS,REPORT_DATE,MONTH_LABEL,MONTH_DATE,SALES_FLOW,REINVESTMENT_FLOW,REDEMPTION_FLOW,NET_FUND_FLOW,NET_FUND_FLOW_PCT
0001410368-26-055485,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Technology Select Sector SPDR(R) Premium Income ETF,S000093832,5084446.02,5020943.85,2026-03-31,MON1,2026-01-31,772172.85,0.0,509556.68,262616.17,5.2304143970859185
0001410368-26-055485,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Technology Select Sector SPDR(R) Premium Income ETF,S000093832,5084446.02,5020943.85,2026-03-31,MON2,2026-02-28,1509541.79,0.0,0.0,1509541.79,30.064900845286292
0001410368-26-055485,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Technology Select Sector SPDR(R) Premium Income ETF,S000093832,5084446.02,5020943.85,2026-03-31,MON3,2026-03-31,243653.17,0.0,731638.52,-487985.35,-9.71899635961872
0001410368-26-055474,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Discretionary Select Sector SPDR(R) Premium Income ETF,S000093834,1375867.96,1349657.99,2026-03-31,MON1,2026-01-31,0.0,0.0,0.0,0.0,0.0
0001410368-26-055474,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Discretionary Select Sector SPDR(R) Premium Income ETF,S000093834,1375867.96,1349657.99,2026-03-31,MON2,2026-02-28,242926.03,0.0,0.0,242926.03,17.999080641163026
0001410368-26-055474,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Discretionary Select Sector SPDR(R) Premium Income ETF,S000093834,1375867.96,1349657.99,2026-03-31,MON3,2026-03-31,437228.32,0.0,453646.4,-16418.080000000016,-1.2164622535224658
0001410368-26-055541,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Communication Services Select Sector SPDR(R) Premium Income ETF,S000093831,1952432.85,1932465.05,2026-03-31,MON1,2026-01-31,0.0,0.0,0.0,0.0,0.0
0001410368-26-055541,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Communication Services Select Sector SPDR(R) Premium Income ETF,S000093831,1952432.85,1932465.05,2026-03-31,MON2,2026-02-28,249711.98,0.0,0.0,249711.98,12.92194029589306
0001410368-26-055541,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Communication Services Select Sector SPDR(R) Premium Income ETF,S000093831,1952432.85,1932465.05,2026-03-31,MON3,2026-03-31,242286.72,0.0,0.0,242286.72,12.537702557673683
0001410368-26-055331,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Technology Select Sector SPDR(R) ETF,S000006415,84231991503.28,84198427150.26,2026-03-31,MON1,2026-01-31,3428785496.9,0.0,4227714180.4,-798928683.5,-0.9488641421700632
0001410368-26-055331,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Technology Select Sector SPDR(R) ETF,S000006415,84231991503.28,84198427150.26,2026-03-31,MON2,2026-02-28,3846334234.15,0.0,4599214575.55,-752880341.4000001,-0.8941738781609476
0001410368-26-055331,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Technology Select Sector SPDR(R) ETF,S000006415,84231991503.28,84198427150.26,2026-03-31,MON3,2026-03-31,4847542509.55,0.0,4648574060.05,198968449.5,0.2363089860870229
0001410368-26-055348,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Materials Select Sector SPDR(R) ETF,S000006414,6545650230.4,6540082781.6,2026-03-31,MON1,2026-01-31,1296071254.6,0.0,1003397889.5,292673365.0999999,4.475071262452717
0001410368-26-055348,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Materials Select Sector SPDR(R) ETF,S000006414,6545650230.4,6540082781.6,2026-03-31,MON2,2026-02-28,1676555945.9,0.0,1081554383.95,595001561.95,9.097768053089318
0001410368-26-055348,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Materials Select Sector SPDR(R) ETF,S000006414,6545650230.4,6540082781.6,2026-03-31,MON3,2026-03-31,811094527.2,0.0,1046174652.75,-235080125.54999995,-3.5944518349428094
0001410368-26-055358,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Energy Select Sector SPDR(R) ETF,S000006410,43607952136.85,43603133295.53,2026-03-31,MON1,2026-01-31,3455636791.35,0.0,797980765.15,2657656026.2,6.095103322477174
0001410368-26-055358,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Energy Select Sector SPDR(R) ETF,S000006410,43607952136.85,43603133295.53,2026-03-31,MON2,2026-02-28,3412008058.95,0.0,1787758978.8,1624249080.1499999,3.7250742260683154
0001410368-26-055358,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Energy Select Sector SPDR(R) ETF,S000006410,43607952136.85,43603133295.53,2026-03-31,MON3,2026-03-31,5114041273.05,0.0,3089885809.5,2024155463.5500002,4.642224791119558
0001410368-26-055323,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Communication Services Select Sector SPDR(R) ETF,S000062095,24287310054.37,24108154068.29,2026-03-31,MON1,2026-01-31,1223646883.8,0.0,973331357.35,250315526.44999993,1.0383023343095588
0001410368-26-055323,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Communication Services Select Sector SPDR(R) ETF,S000062095,24287310054.37,24108154068.29,2026-03-31,MON2,2026-02-28,1005069833.55,0.0,1330545528.85,-325475695.29999995,-1.3500647721847168
0001410368-26-055323,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Communication Services Select Sector SPDR(R) ETF,S000062095,24287310054.37,24108154068.29,2026-03-31,MON3,2026-03-31,1000608181.3,0.0,2484305533.55,-1483697352.2500002,-6.154338270973392
0001410368-26-055337,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Health Care Select Sector SPDR(R) ETF,S000006412,38762766656.61,38603883815.72,2026-03-31,MON1,2026-01-31,3087919829.6,0.0,1788058459.55,1299861370.05,3.3671777074426887
0001410368-26-055337,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Health Care Select Sector SPDR(R) ETF,S000006412,38762766656.61,38603883815.72,2026-03-31,MON2,2026-02-28,2570418472.1,0.0,1895331565.2,675086906.8999999,1.7487538562767504
0001410368-26-055337,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Health Care Select Sector SPDR(R) ETF,S000006412,38762766656.61,38603883815.72,2026-03-31,MON3,2026-03-31,2166433668.4,0.0,3078394043.6,-911960375.1999998,-2.362353952657576
0001410368-26-055328,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Discretionary Select Sector SPDR(R) ETF,S000006408,21448401671.03,21445781992.17,2026-03-31,MON1,2026-01-31,739719379.7,0.0,1573305399.45,-833586019.75,-3.886946253833728
0001410368-26-055328,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Discretionary Select Sector SPDR(R) ETF,S000006408,21448401671.03,21445781992.17,2026-03-31,MON2,2026-02-28,1129203484.3,0.0,1431887331.65,-302683847.35000014,-1.4113910486477577
0001410368-26-055328,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Discretionary Select Sector SPDR(R) ETF,S000006408,21448401671.03,21445781992.17,2026-03-31,MON3,2026-03-31,1529131127.75,0.0,1261948340.7,267182787.04999995,1.245852387884714
0001410368-26-055347,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Real Estate Select Sector SPDR(R) ETF,S000051152,7307222486.21,7306239679.46,2026-03-31,MON1,2026-01-31,268472428.4,0.0,649305021.8,-380832593.4,-5.212429513784403
0001410368-26-055347,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Real Estate Select Sector SPDR(R) ETF,S000051152,7307222486.21,7306239679.46,2026-03-31,MON2,2026-02-28,367433999.8,0.0,281580769.1,85853230.69999999,1.1750672639628674
0001410368-26-055347,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Real Estate Select Sector SPDR(R) ETF,S000051152,7307222486.21,7306239679.46,2026-03-31,MON3,2026-03-31,640285638.4,0.0,506891515.55,133394122.84999996,1.825756185155139
0001410368-26-066832,1041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,,,42760394767.88,42719601104.81,2026-04-30,MON1,2026-02-28,6480637240.3,0.0,5797120375.55,683516864.75,1.6000076008973776
0001410368-26-066832,1041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,,,42760394767.88,42719601104.81,2026-04-30,MON2,2026-03-30,7506928390.0,0.0,7645661942.6,-138733552.60000038,-0.324753857742318
0001410368-26-066832,1041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,,,42760394767.88,42719601104.81,2026-04-30,MON3,2026-04-30,6309869625.4,0.0,8338154762.3,-2028285136.9000006,-4.747902799756308
0001410368-26-055470,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Health Care Select Sector SPDR(R) Premium Income ETF,S000093838,12991106.6,12813312.51,2026-03-31,MON1,2026-01-31,534346.44,0.0,0.0,534346.44,4.170244342225912
0001410368-26-055470,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Health Care Select Sector SPDR(R) Premium Income ETF,S000093838,12991106.6,12813312.51,2026-03-31,MON2,2026-02-28,1066182.0,0.0,0.0,1066182.0,8.320892814936892
0001410368-26-055470,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Health Care Select Sector SPDR(R) Premium Income ETF,S000093838,12991106.6,12813312.51,2026-03-31,MON3,2026-03-31,1022083.5,0.0,766452.06,255631.43999999994,1.9950456979839943
0001410368-26-055525,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Energy Select Sector SPDR(R) Premium Income ETF,S000093836,27416308.46,26344943.78,2026-03-31,MON1,2026-01-31,3757570.23,0.0,0.0,3757570.23,14.26296545317585
0001410368-26-055525,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Energy Select Sector SPDR(R) Premium Income ETF,S000093836,27416308.46,26344943.78,2026-03-31,MON2,2026-02-28,5473699.01,0.0,264624.34,5209074.67,19.77257842529357
0001410368-26-055525,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Energy Select Sector SPDR(R) Premium Income ETF,S000093836,27416308.46,26344943.78,2026-03-31,MON3,2026-03-31,10699778.36,0.0,0.0,10699778.36,40.6141628137496
0001410368-26-055561,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Industrial Select Sector SPDR(R) Premium Income ETF,S000093839,5404736.31,5314018.27,2026-03-31,MON1,2026-01-31,761929.39,0.0,0.0,761929.39,14.338102567344016
0001410368-26-055561,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Industrial Select Sector SPDR(R) Premium Income ETF,S000093839,5404736.31,5314018.27,2026-03-31,MON2,2026-02-28,1031231.36,0.0,261767.23,769464.13,14.47989244493132
0001410368-26-055561,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Industrial Select Sector SPDR(R) Premium Income ETF,S000093839,5404736.31,5314018.27,2026-03-31,MON3,2026-03-31,2669521.43,0.0,0.0,2669521.43,50.235458260853896
0001410368-26-055578,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Utilities Select Sector SPDR(R) Premium Income ETF,S000093833,9949904.04,9802203.8,2026-03-31,MON1,2026-01-31,1427924.82,0.0,0.0,1427924.82,14.567385550584042
0001410368-26-055578,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Utilities Select Sector SPDR(R) Premium Income ETF,S000093833,9949904.04,9802203.8,2026-03-31,MON2,2026-02-28,1501073.77,0.0,0.0,1501073.77,15.313635592844946
0001410368-26-055578,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Utilities Select Sector SPDR(R) Premium Income ETF,S000093833,9949904.04,9802203.8,2026-03-31,MON3,2026-03-31,1497323.22,0.0,493171.03,1004152.19,10.244147239623807
0000940400-26-022717,936958,SPDR S&P MIDCAP 400 ETF TRUST,State Street SPDR S&P MidCap 400SM ETF Trust,,24295338375.02,24217503248.04,2026-03-31,MON1,2026-01-31,611820894.66,0.0,1404884895.73,-793064001.07,-3.2747554235764795
0000940400-26-022717,936958,SPDR S&P MIDCAP 400 ETF TRUST,State Street SPDR S&P MidCap 400SM ETF Trust,,24295338375.02,24217503248.04,2026-03-31,MON2,2026-02-28,1218490162.25,0.0,1089136027.84,129354134.41000009,0.5341348903110774
0000940400-26-022717,936958,SPDR S&P MIDCAP 400 ETF TRUST,State Street SPDR S&P MidCap 400SM ETF Trust,,24295338375.02,24217503248.04,2026-03-31,MON3,2026-03-31,1899458442.33,0.0,1739868478.21,159589964.1199999,0.6589860337188805
0001410368-26-055360,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) ETF,S000006411,47852468576.5,47790943099.0,2026-03-31,MON1,2026-01-31,7657399547.65,0.0,4120204021.45,3537195526.2,7.401393018908668
0001410368-26-055360,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) ETF,S000006411,47852468576.5,47790943099.0,2026-03-31,MON2,2026-02-28,4233707712.6,0.0,7829669360.75,-3595961648.15,-7.524357995406966
