REPORT_DATE,CIK,REGISTRANT_NAME,SECURITY_KEY,ISSUER_NAME,BALANCE,PREV_BALANCE,POSITION_CHANGE,POSITION_CHANGE_PCT
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.CHINA DILI,1900000.0,3217900.0,-1317900.0,-40.9552813946984
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,NEW NOBLE,1611.0,1900000.0,-1898389.0,-99.91521052631579
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,FIREFINCH LTD.,764682.0,1611.0,763071.0,47366.29422718808
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE MH DEVELOPMENT NPV,27600.0,764682.0,-737082.0,-96.39065650819556
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.REALGOLD MINING,251500.0,27600.0,223900.0,811.2318840579711
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.LONG WELL INTL,3424000.0,251500.0,3172500.0,1261.431411530815
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,RYZON MATERIALS LIMITED UNL,1313928.0,3424000.0,-2110072.0,-61.62593457943926
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.TECH PRO,6035100.0,1313928.0,4721172.0,359.31740551993715
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.LUMENA NEWMAT,104532.0,6035100.0,-5930568.0,-98.2679325943232
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.SINIC HOLDINGS,315921.0,104532.0,211389.0,202.22419928825622
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.ANXIN CHINA,2248000.0,315921.0,1932079.0,611.5702976377006
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.NATIONAL AGRI,164600.0,2248000.0,-2083400.0,-92.67793594306049
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.CHINA ZHONGWANG,346000.0,164600.0,181400.0,110.20656136087486
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,UNTRADE.AGRITRADE RES,1595000.0,346000.0,1249000.0,360.98265895953756
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,000000000,LEO LITHIUM LIMITED UNL,530555.0,1595000.0,-1064445.0,-66.73636363636363
