ACCESSION_NUMBER,REPORT_DATE,CIK,REGISTRANT_NAME,HOLDING_ID,ISSUER_NAME,ISSUER_CUSIP,IDENTIFIER_ISIN,IDENTIFIER_TICKER,BALANCE,CURRENCY_VALUE,PERCENTAGE,ASSET_CAT,ISSUER_TYPE
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594030,Jeronimo Martins SGPS SA,000000000,PTJMT0AE0001,,7329.0,173618.36,0.037933645968,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594142,Scentre Group,000000000,AU000000SCG8,,130203.0,296064.47,0.064686734678,EC,OTHER
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593999,Mapfre SA,000000000,ES0124244E34,,21935.0,96393.14,0.021060809735,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593332,Lloyds Banking Group PLC,000000000,GB0008706128,,1470369.0,1790449.1,0.391192857041,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593737,Shiseido Co Ltd,000000000,JP3351600006,,9700.0,194499.97,0.042496041333,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594216,Adyen NV,000000000,NL0012969182,,624.0,611558.18,0.133618538321,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593858,Coloplast A/S,000000000,DK0060448595,,3160.0,212635.15,0.046458372838,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593916,Aena SME SA,000000000,ES0105046017,,18888.0,555385.39,0.12134541969,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593560,SCREEN Holdings Co Ltd,000000000,JP3494600004,,4000.0,224778.43,0.049111542033,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593769,Tokyu Corp,000000000,JP3574200006,,12500.0,146261.55,0.031956492714,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593910,Sandoz Group AG,000000000,CH1243598427,,10466.0,804145.16,0.175696612998,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593606,Hikari Tsushin Inc,000000000,JP3783420007,,400.0,99918.29,0.021831015098,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593637,Aeon Co Ltd,000000000,JP3388200002,,55000.0,651502.29,0.142345874112,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593699,Nippon Steel Corp,000000000,JP3381000003,,118900.0,430413.67,0.094040513788,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593701,Nissan Motor Co Ltd,000000000,JP3672400003,,56100.0,117425.99,0.025656249328,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593869,UBS Group AG,000000000,CH0244767585,,78950.0,3019268.87,0.659676064196,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593914,Sampo Oyj,000000000,FI4000552500,,59632.0,632250.83,0.138139648066,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593962,Daiichi Sankyo Co Ltd,000000000,JP3475350009,,44600.0,775432.77,0.169423280862,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593420,Beiersdorf AG,000000000,DE0005200000,,2472.0,218118.07,0.047656328781,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593708,Oriental Land Co Ltd/Japan,000000000,JP3198900007,,26600.0,451442.58,0.098635092536,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594168,Lottery Corp Ltd/The,000000000,AU0000219529,,56372.0,207717.43,0.045383906696,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593522,Lynas Rare Earths Ltd,000000000,AU000000LYC6,,22008.0,285789.41,0.062441750402,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593445,Banco Bilbao Vizcaya Argentaria SA,000000000,ES0113211835,,142104.0,2988112.75,0.652868804723,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593850,Swiss Re AG,000000000,CH0126881561,,7437.0,1223534.81,0.26732850323,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593885,Sika AG,000000000,CH0418792922,,3754.0,606862.8,0.132592650952,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593506,Asahi Group Holdings Ltd,000000000,JP3116000005,,38100.0,379587.03,0.082935468403,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593634,Isuzu Motors Ltd,000000000,JP3137200006,,13200.0,184280.6,0.040263224691,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593912,Tenaris SA,000000000,LU2598331598,,9449.0,277621.97,0.060657257233,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593541,Chiba Bank Ltd/The,000000000,JP3511800009,,14000.0,175649.0,0.038377317817,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593970,Link REIT,000000000,HK0823032773,,66330.0,304737.97,0.066581796228,EC,OTHER
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593809,Sonova Holding AG,000000000,CH0012549785,,1255.0,279565.68,0.061081935861,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593368,Lotus Bakeries NV,000000000,BE0003604155,,10.0,112224.26,0.024519730216,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594122,Akzo Nobel NV,000000000,NL0013267909,,4301.0,243816.09,0.0532710552,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594157,Vestas Wind Systems A/S,000000000,DK0061539921,,25465.0,746626.23,0.163129378017,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593696,Nitto Denko Corp,000000000,JP3684000007,,16800.0,323560.25,0.070694251304,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170593942,Raiffeisen Bank International AG,000000000,AT0000606306,,3145.0,131756.59,0.028787323178,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594085,Xero Ltd,000000000,NZXROE0001S2,,4127.0,212332.89,0.04639233245,EC,CORP
0001410368-26-055322,2026-03-31,1168164,SPDR INDEX SHARES FUNDS,170594017,Yangzijiang Shipbuilding Holdings Ltd,000000000,SG1U76934819,,64200.0,188099.06,0.041097514968,EC,CORP
