date,sector,delta_1d_ema20,delta_5d_ema20,delta_20d_ema20,delta_1d_ema50,delta_5d_ema50,delta_20d_ema50,delta_1d_ema200,delta_5d_ema200,delta_20d_ema200,classification_5d_ema20,classification_5d_ema50,classification_5d_ema200,breadth_expansion_5d,breadth_deterioration_5d
2026-09-08,XLK,-9.523809523809518,28.571428571428584,-19.04761904761904,14.28571428571427,23.80952380952381,0.0,4.761904761904773,4.761904761904773,4.761904761904773,Expansión fuerte,Expansión fuerte,Expansión moderada,True,False
2026-09-08,XLF,-40.0,-20.000000000000007,-35.0,-20.0,-5.0,-15.0,0.0,0.0,10.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-08,XLV,-20.0,-35.0,-40.0,-15.0,-15.0,-30.0,0.0,0.0,-5.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-08,XLE,15.0,-5.0,-5.0,10.0,5.0,10.0,0.0,0.0,15.0,Deterioro fuerte,Expansión fuerte,Estable,False,True
2026-09-08,XLY,-15.0,-20.0,-50.0,-5.0,-10.0,-35.0,-5.0,-5.0,-30.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-08,XLP,-10.0,-15.0,-15.0,-10.0,-35.0,-35.0,-10.0,-15.0,-10.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-08,XLI,19.047619047619044,14.285714285714285,-52.38095238095238,0.0,9.523809523809522,-61.9047619047619,-4.761904761904759,0.0,-23.80952380952381,Expansión fuerte,Expansión fuerte,Estable,False,False
2026-09-08,XLB,-5.0,-20.0,-35.0,-15.0,-25.000000000000007,-35.0,-5.0,-10.0,-10.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-08,XLU,10.0,20.0,15.0,5.0,10.0,5.0,0.0,5.0,-20.0,Expansión fuerte,Expansión fuerte,Expansión fuerte,False,False
2026-09-08,XLRE,10.0,15.0,-5.0,0.0,5.0,-30.0,-4.999999999999993,0.0,-25.0,Expansión fuerte,Expansión fuerte,Estable,False,False
2026-09-08,XLC,-5.0,-25.0,-35.0,4.999999999999993,0.0,-5.0,0.0,0.0,0.0,Deterioro fuerte,Estable,Estable,False,True
2026-09-09,XLK,0.0,9.523809523809526,-14.285714285714278,0.0,19.047619047619044,-9.523809523809533,0.0,9.523809523809533,0.0,Expansión fuerte,Expansión fuerte,Expansión fuerte,True,False
2026-09-09,XLF,0.0,-45.0,-45.0,0.0,-25.0,-25.0,0.0,0.0,5.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-09,XLV,0.0,-35.0,-45.0,0.0,-15.0,-30.0,0.0,0.0,-5.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-09,XLE,0.0,0.0,5.0,0.0,10.0,10.0,0.0,0.0,15.0,Estable,Expansión fuerte,Estable,False,False
2026-09-09,XLY,0.0,-20.0,-50.0,0.0,-15.0,-35.0,0.0,-10.0,-30.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-09,XLP,0.0,-20.0,-40.0,0.0,-20.0,-55.0,0.0,-15.0,-20.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-09,XLI,0.0,14.285714285714285,-52.38095238095238,0.0,9.523809523809522,-61.9047619047619,0.0,-4.761904761904759,-23.80952380952381,Expansión fuerte,Expansión fuerte,Deterioro moderado,False,False
2026-09-09,XLB,0.0,-5.0,-30.0,0.0,-20.0,-30.0,0.0,0.0,-10.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-09,XLU,0.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,-35.0,Estable,Expansión fuerte,Expansión fuerte,False,False
2026-09-09,XLRE,0.0,0.0,-25.0,0.0,-5.0,-45.0,0.0,-14.999999999999991,-25.0,Estable,Deterioro fuerte,Deterioro fuerte,False,False
2026-09-09,XLC,0.0,-30.0,-35.0,0.0,-5.0,-15.0,0.0,0.0,-5.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-10,XLK,-16.904761904761912,-26.42857142857143,-31.19047619047619,-6.666666666666657,7.619047619047613,-1.904761904761912,-5.476190476190482,-0.7142857142857082,-0.7142857142857082,Deterioro fuerte,Expansión fuerte,Estable,False,True
2026-09-10,XLF,-15.0,-55.0,-60.0,-14.999999999999991,-34.99999999999999,-34.99999999999999,-10.0,-10.0,-5.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-10,XLV,-35.0,-55.0,-70.0,0.0,-15.0,-30.0,-5.0,-5.0,-10.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-10,XLE,-10.0,5.0,-15.0,-20.0,-10.0,-15.0,0.0,0.0,10.0,Expansión fuerte,Deterioro fuerte,Estable,True,False
2026-09-10,XLY,0.0,-15.0,-55.0,-10.0,-15.0,-55.0,5.0,0.0,-20.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-10,XLP,0.0,-10.0,-45.0,10.0,0.0,-45.0,-10.0,-20.0,-20.0,Deterioro fuerte,Estable,Deterioro fuerte,False,True
2026-09-10,XLI,-23.57142857142857,-4.523809523809524,-75.95238095238095,-13.809523809523808,-13.809523809523808,-80.47619047619048,-1.4285714285714306,-6.19047619047619,-25.23809523809524,Deterioro moderado,Deterioro fuerte,Deterioro fuerte,False,False
2026-09-10,XLB,-15.0,-20.0,-45.0,0.0,-15.0,-40.0,-4.999999999999993,-9.999999999999991,-14.999999999999991,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-10,XLU,-20.0,-10.0,-15.0,-10.0,-5.0,-15.0,-5.0,-5.0,-45.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-10,XLRE,-25.0,-15.0,-50.0,-15.0,-15.0,-55.0,-15.000000000000009,-20.0,-40.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-10,XLC,-5.0,-10.0,-45.0,-20.0,-15.000000000000009,-35.0,0.0,0.0,-5.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-11,XLK,5.0,-2.3809523809523867,-26.19047619047619,0.0,12.380952380952387,-16.19047619047619,0.0,4.047619047619051,-5.476190476190482,Deterioro moderado,Expansión fuerte,Expansión moderada,False,False
2026-09-11,XLF,20.0,-40.0,-40.0,4.999999999999993,-35.0,-35.0,0.0,-10.0,-5.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-11,XLV,5.0,-65.0,-75.0,-4.999999999999993,-19.999999999999993,-34.99999999999999,0.0,-5.0,-10.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-11,XLE,-10.0,-20.0,-15.0,0.0,-10.0,-10.0,-10.0,-10.0,5.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-11,XLY,-5.0,-25.0,-55.0,10.0,-15.0,-35.0,-5.0,-10.0,-30.0,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-11,XLP,10.0,-10.0,-30.0,15.0,5.0,-30.0,0.0,-25.0,-30.0,Deterioro fuerte,Expansión fuerte,Deterioro fuerte,False,True
2026-09-11,XLI,25.0,15.714285714285715,-50.95238095238095,15.0,10.714285714285715,-60.71428571428571,0.0,-6.19047619047619,-25.23809523809524,Expansión fuerte,Expansión fuerte,Deterioro fuerte,False,False
2026-09-11,XLB,0.0,-20.0,-45.0,0.0,-20.0,-30.0,4.999999999999993,0.0,-10.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
2026-09-11,XLU,-5.0,-25.0,-10.0,5.0,0.0,-5.0,-5.0,-5.0,-45.0,Deterioro fuerte,Estable,Deterioro fuerte,False,True
2026-09-11,XLRE,10.0,-15.0,-40.0,10.0,-10.0,-50.0,15.000000000000007,-14.999999999999993,-24.999999999999993,Deterioro fuerte,Deterioro fuerte,Deterioro fuerte,False,True
2026-09-11,XLC,10.0,-25.0,-30.0,15.000000000000007,-9.999999999999993,-19.999999999999993,0.0,0.0,-5.0,Deterioro fuerte,Deterioro fuerte,Estable,False,True
