sector,rank_actual,rank_change_5d,rank_change_10d,rank_change_20d,lectura_5d,lectura_10d,lectura_20d
XLK,3,2,-2,-2,Estable,Estable,Estable
XLF,5,2,1,3,Estable,Estable,Fuerte deterioro
XLV,4,0,3,1,Estable,Fuerte deterioro,Estable
XLE,2,0,0,-2,Estable,Estable,Estable
XLY,9,-2,2,8,Estable,Estable,Fuerte deterioro
XLP,7,-2,1,0,Estable,Estable,Estable
XLI,10,2,2,2,Estable,Estable,Estable
XLB,6,-1,3,0,Estable,Fuerte deterioro,Estable
XLU,8,2,-2,-2,Estable,Estable,Estable
XLRE,11,1,2,2,Estable,Estable,Estable
XLC,1,-4,-10,-10,Fuerte mejora,Fuerte mejora,Fuerte mejora
