date,sector,score,rank
2026-08-05,XLB,0.0,8
2026-08-05,XLC,0.0,10
2026-08-05,XLE,0.0,5
2026-08-05,XLF,0.3704410885801694,2
2026-08-05,XLI,0.0,7
2026-08-05,XLK,0.0,3
2026-08-05,XLP,0.0,6
2026-08-05,XLRE,0.0,9
2026-08-05,XLU,-0.0452660681823935,11
2026-08-05,XLV,0.0,4
2026-08-05,XLY,0.400234558040216,1
2026-08-06,XLB,0.0,8
2026-08-06,XLC,0.0,10
2026-08-06,XLE,0.0,5
2026-08-06,XLF,0.3548614955766995,2
2026-08-06,XLI,0.0,7
2026-08-06,XLK,0.0,3
2026-08-06,XLP,0.0,6
2026-08-06,XLRE,0.0,9
2026-08-06,XLU,-0.0367338174328736,11
2026-08-06,XLV,0.0,4
2026-08-06,XLY,0.4168242350848429,1
2026-08-07,XLB,0.0,8
2026-08-07,XLC,0.0,10
2026-08-07,XLE,0.0,5
2026-08-07,XLF,0.2914830318934324,2
2026-08-07,XLI,0.0,7
2026-08-07,XLK,0.0,3
2026-08-07,XLP,0.0,6
2026-08-07,XLRE,0.0,9
2026-08-07,XLU,-0.0425475351710434,11
2026-08-07,XLV,0.0,4
2026-08-07,XLY,0.4743196693327004,1
2026-08-10,XLB,0.0,9
2026-08-10,XLC,0.0504536741763999,3
2026-08-10,XLE,0.0,7
2026-08-10,XLF,0.2384832515610491,2
2026-08-10,XLI,0.0,8
2026-08-10,XLK,0.0,5
2026-08-10,XLP,-0.0,6
2026-08-10,XLRE,-0.0,10
2026-08-10,XLU,-0.072687529644951,11
2026-08-10,XLV,0.0,4
2026-08-10,XLY,0.4724990591536496,1
2026-08-11,XLB,0.0,8
2026-08-11,XLC,0.0,10
2026-08-11,XLE,0.0,5
2026-08-11,XLF,0.2613743039128591,2
2026-08-11,XLI,0.0,7
2026-08-11,XLK,0.0,4
2026-08-11,XLP,0.0,6
2026-08-11,XLRE,-0.0,9
2026-08-11,XLU,-0.0511688370059287,11
2026-08-11,XLV,0.0404133863818018,3
2026-08-11,XLY,0.5243357602651976,1
2026-08-12,XLB,0.0,8
2026-08-12,XLC,0.0,10
2026-08-12,XLE,0.0,5
2026-08-12,XLF,0.2478432382127346,2
2026-08-12,XLI,0.0,7
2026-08-12,XLK,0.000982387071841,4
2026-08-12,XLP,0.0,6
2026-08-12,XLRE,-0.0,9
2026-08-12,XLU,-0.0440456133597007,11
2026-08-12,XLV,0.0242152854984201,3
2026-08-12,XLY,0.5325705470545696,1
2026-08-13,XLB,0.0,9
2026-08-13,XLC,0.1294639879622873,3
2026-08-13,XLE,0.0,7
2026-08-13,XLF,0.2090117410250223,2
2026-08-13,XLI,0.0,8
2026-08-13,XLK,0.0815629565443121,4
2026-08-13,XLP,0.0,6
2026-08-13,XLRE,0.0,10
2026-08-13,XLU,-0.0004471686817298,11
2026-08-13,XLV,0.0,5
2026-08-13,XLY,0.4516025276060816,1
2026-08-14,XLB,0.0,9
2026-08-14,XLC,0.2012805753007416,3
2026-08-14,XLE,0.0,7
2026-08-14,XLF,0.2054270177548467,2
2026-08-14,XLI,0.0,8
2026-08-14,XLK,0.1549946410248193,4
2026-08-14,XLP,0.0,6
2026-08-14,XLRE,0.0,10
2026-08-14,XLU,-0.0,11
2026-08-14,XLV,0.0,5
2026-08-14,XLY,0.5158891459078913,1
2026-08-17,XLB,0.1242860064059623,4
2026-08-17,XLC,0.0,11
2026-08-17,XLE,0.0,7
2026-08-17,XLF,0.1750807733885475,3
2026-08-17,XLI,0.0,8
2026-08-17,XLK,0.1933392182337434,2
2026-08-17,XLP,0.0,6
2026-08-17,XLRE,-0.0,9
2026-08-17,XLU,-0.0,10
2026-08-17,XLV,0.037966824809354,5
2026-08-17,XLY,0.3801415676165581,1
2026-08-18,XLB,0.0304616264222185,6
2026-08-18,XLC,0.0,11
2026-08-18,XLE,0.0759634658995269,4
2026-08-18,XLF,0.2819219688902249,2
2026-08-18,XLI,0.0,8
2026-08-18,XLK,0.0689579983392215,5
2026-08-18,XLP,0.0,7
2026-08-18,XLRE,-0.0,9
2026-08-18,XLU,-0.0,10
2026-08-18,XLV,0.1081158135345776,3
2026-08-18,XLY,0.3618760363955198,1
2026-08-19,XLB,0.1430086557585748,5
2026-08-19,XLC,0.2152053461809299,4
2026-08-19,XLE,0.1077402478030929,6
2026-08-19,XLF,0.2294812548922213,3
2026-08-19,XLI,0.0,8
2026-08-19,XLK,0.0,7
2026-08-19,XLP,0.0,9
2026-08-19,XLRE,0.0,10
2026-08-19,XLU,-0.0,11
2026-08-19,XLV,0.2346958668764935,2
2026-08-19,XLY,0.7547655845938621,1
2026-08-20,XLB,0.1899973147332991,2
2026-08-20,XLC,0.0,11
2026-08-20,XLE,0.1715505613374192,3
2026-08-20,XLF,0.1178115207244639,4
2026-08-20,XLI,-0.0,8
2026-08-20,XLK,0.0,6
2026-08-20,XLP,0.0,7
2026-08-20,XLRE,0.0,9
2026-08-20,XLU,-0.0,10
2026-08-20,XLV,0.0974824722316514,5
2026-08-20,XLY,0.6956550155397406,1
2026-08-21,XLB,0.2112781891638716,3
2026-08-21,XLC,0.3470493713129787,2
2026-08-21,XLE,0.1688346819087764,4
2026-08-21,XLF,0.1302444540298426,5
2026-08-21,XLI,-0.0,8
2026-08-21,XLK,0.0071970721450171,7
2026-08-21,XLP,0.0,9
2026-08-21,XLRE,0.0,10
2026-08-21,XLU,-0.0,11
2026-08-21,XLV,0.126155169860012,6
2026-08-21,XLY,0.8259907974852981,1
2026-08-24,XLB,0.2086026922938797,4
2026-08-24,XLC,0.4859412658827364,2
2026-08-24,XLE,0.2099698384888392,3
2026-08-24,XLF,0.2079587876254885,5
2026-08-24,XLI,-0.0,8
2026-08-24,XLK,0.0,7
2026-08-24,XLP,0.0,9
2026-08-24,XLRE,0.0,10
2026-08-24,XLU,-0.0,11
2026-08-24,XLV,0.1245486342002274,6
2026-08-24,XLY,0.808630193207064,1
2026-08-25,XLB,0.1155051517776829,5
2026-08-25,XLC,0.4968288176456598,2
2026-08-25,XLE,0.1857648015486758,3
2026-08-25,XLF,0.1442371250752734,4
2026-08-25,XLI,-0.0,8
2026-08-25,XLK,0.0549281762261689,7
2026-08-25,XLP,0.0,9
2026-08-25,XLRE,0.0,10
2026-08-25,XLU,-0.0,11
2026-08-25,XLV,0.1079048903613055,6
2026-08-25,XLY,0.7935332839331913,1
2026-08-26,XLB,0.1473454785585998,4
2026-08-26,XLC,0.2804012026887531,2
2026-08-26,XLE,0.0501444385940062,7
2026-08-26,XLF,0.127687869851808,5
2026-08-26,XLI,-0.0,8
2026-08-26,XLK,0.1714442192990539,3
2026-08-26,XLP,0.0,9
2026-08-26,XLRE,0.0,10
2026-08-26,XLU,-0.0,11
2026-08-26,XLV,0.0820312868321594,6
2026-08-26,XLY,0.5997751557553602,1
2026-08-27,XLB,0.1323496311401417,2
2026-08-27,XLC,0.0780261785347914,6
2026-08-27,XLE,0.0321139320718744,7
2026-08-27,XLF,0.0924170436707928,5
2026-08-27,XLI,-0.0,8
2026-08-27,XLK,0.2482714844763765,1
2026-08-27,XLP,0.0,9
2026-08-27,XLRE,-0.0,10
2026-08-27,XLU,-0.0,11
2026-08-27,XLV,0.1160616314046774,4
2026-08-27,XLY,0.1252611139760149,3
2026-08-28,XLB,0.3914327511634102,2
2026-08-28,XLC,0.4416166984524201,1
2026-08-28,XLE,0.1735104138696748,5
2026-08-28,XLF,0.1652643368855084,6
2026-08-28,XLI,-0.0,8
2026-08-28,XLK,0.1343525451398558,7
2026-08-28,XLP,0.0,9
2026-08-28,XLRE,0.0,10
2026-08-28,XLU,-0.0,11
2026-08-28,XLV,0.2514948422186767,4
2026-08-28,XLY,0.2808350408146225,3
2026-08-31,XLB,0.2686024093968421,3
2026-08-31,XLC,0.0,11
2026-08-31,XLE,0.3156842387271124,1
2026-08-31,XLF,0.119275423994852,5
2026-08-31,XLI,-0.0,8
2026-08-31,XLK,0.2156811163636913,4
2026-08-31,XLP,0.0,7
2026-08-31,XLRE,-0.0,9
2026-08-31,XLU,-0.0,10
2026-08-31,XLV,0.3064366087834824,2
2026-08-31,XLY,0.0789388861469404,6
2026-09-01,XLB,0.2149338896169801,3
2026-09-01,XLC,0.0,11
2026-09-01,XLE,0.4087415510067613,2
2026-09-01,XLF,0.0672236762583965,4
2026-09-01,XLI,-0.0,8
2026-09-01,XLK,0.007720164691481,5
2026-09-01,XLP,0.0,6
2026-09-01,XLRE,-0.0,9
2026-09-01,XLU,-0.0,10
2026-09-01,XLV,0.4154627816933334,1
2026-09-01,XLY,0.0,7
2026-09-02,XLB,0.2658480907288601,4
2026-09-02,XLC,0.4841728033545234,1
2026-09-02,XLE,0.4572930268464986,2
2026-09-02,XLF,0.1144790872222971,5
2026-09-02,XLI,-0.0,8
2026-09-02,XLK,0.0,6
2026-09-02,XLP,0.0,9
2026-09-02,XLRE,-0.0,10
2026-09-02,XLU,-0.0,11
2026-09-02,XLV,0.3765191631828939,3
2026-09-02,XLY,0.0,7
2026-09-03,XLB,0.0,9
2026-09-03,XLC,0.4565268320705662,1
2026-09-03,XLE,0.3401998378245831,2
2026-09-03,XLF,0.1291232876186959,4
2026-09-03,XLI,-0.0,8
2026-09-03,XLK,0.0,6
2026-09-03,XLP,0.0,7
2026-09-03,XLRE,-0.0,10
2026-09-03,XLU,-0.0,11
2026-09-03,XLV,0.2652877501807597,3
2026-09-03,XLY,0.1155966949731917,5
2026-09-04,XLB,0.0,9
2026-09-04,XLC,0.3224121049665377,1
2026-09-04,XLE,0.2526761870552424,2
2026-09-04,XLF,0.1405949140046788,5
2026-09-04,XLI,-0.0,8
2026-09-04,XLK,0.1461506941163952,4
2026-09-04,XLP,0.0,6
2026-09-04,XLRE,-0.0,10
2026-09-04,XLU,-0.0,11
2026-09-04,XLV,0.1481855817953317,3
2026-09-04,XLY,-0.0,7
2026-09-06,XLB,0.0,9
2026-09-06,XLC,0.2958135013815994,1
2026-09-06,XLE,0.2333759919073587,2
2026-09-06,XLF,0.1131742890226435,4
2026-09-06,XLI,-0.0,8
2026-09-06,XLK,0.1931385008371432,3
2026-09-06,XLP,0.0,6
2026-09-06,XLRE,-0.0,10
2026-09-06,XLU,-0.0,11
2026-09-06,XLV,0.1115514523542463,5
2026-09-06,XLY,-0.0,7
2026-09-07,XLB,0.0,9
2026-09-07,XLC,0.3427754631413299,1
2026-09-07,XLE,0.1975127564126757,2
2026-09-07,XLF,0.1443434254545435,4
2026-09-07,XLI,-0.0,8
2026-09-07,XLK,0.1377017476762942,5
2026-09-07,XLP,0.0,6
2026-09-07,XLRE,0.0,10
2026-09-07,XLU,-0.0,11
2026-09-07,XLV,0.1903985415477734,3
2026-09-07,XLY,-0.0,7
2026-09-08,XLB,,8
2026-09-08,XLC,,11
2026-09-08,XLE,,4
2026-09-08,XLF,,2
2026-09-08,XLI,,7
