date,vix_level,vix_percentile_20d,vix_percentile_60d,term_structure_ratio,term_structure_slope,pcr_zscore,pcr_percentile_20d,volatility_reading,term_structure_reading,n_valid_vix_20d,n_valid_vix_60d,n_valid_pcr_20d,effective_date,expected_date,coverage
2026-09-08,15.720000267028809,0.8,0.3833333333333333,1.1698472695461524,2.669999122619629,-1.1638064506453054,10.0,Volatilidad elevada reciente,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-09,15.720000267028809,0.8,0.3833333333333333,1.1698472695461526,2.6699991226196325,-1.0703254054152287,10.0,Volatilidad elevada reciente,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-10,17.84000015258789,1.0,0.8,1.1513453329510084,2.700000762939453,0.3730373898099264,65.0,Volatilidad elevada reciente,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-11,15.84000015258789,0.725,0.4333333333333333,1.2967172170242425,4.700000762939453,0.3730373898099264,65.0,Volatilidad por encima de la media,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-14,17.100000381469727,0.95,0.75,,,1.290064389673675,80.0,Volatilidad elevada reciente,N/D,20,60,20,,,
2026-09-15,17.200000762939453,0.95,0.7833333333333333,1.1255813454214874,2.1599992370605463,2.4323827646480822,95.0,Volatilidad elevada reciente,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-16,17.709999084472656,0.95,0.8166666666666667,1.1140599107821745,2.020000915527344,2.4323827646480822,95.0,Volatilidad elevada reciente,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-17,15.4399995803833,0.5,0.3166666666666666,1.201424903117743,3.1100004196167,0.8584595744948436,85.0,Volatilidad media,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-18,14.8100004196167,0.25,0.1333333333333333,1.2316002351924358,3.429999580383299,0.2412069742578714,65.0,Volatilidad por debajo de la media,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-23,15.18000030517578,0.4,0.2666666666666666,1.1930171440231636,2.930000305175781,-0.0206362819112754,50.0,Volatilidad media,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-24,15.670000076293944,0.6,0.4416666666666666,1.1761327514641975,2.760000228881836,-0.4111144916183413,20.0,Volatilidad por encima de la media,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
2026-09-25,14.869999885559082,0.275,0.175,1.2057834659038982,3.0600001144409177,-1.313212032611105,0.0,Volatilidad por debajo de la media,Contango (vol. implícita mayor horizonte superior a inmediata),20,60,20,,,
