,,sector,n,IC20_RS,IC20_Momentum,IC20_Flow,IC20_Wyckoff,IC20_Tactical,IC20_Structural,IC60_RS,IC60_Momentum,IC60_Flow,IC60_Wyckoff,IC60_Tactical,IC60_Structural
IS,0,XLK,353,-0.02767414021135153,-0.09494777321396614,-0.059363501049773684,-0.09921861700502409,-0.11421854061816611,0.04248309667957241,-0.09224749778478113,-0.15771949218016823,-0.06051830665613256,-0.1653895511508226,-0.19433716940859114,0.08694052082742244
IS,1,XLF,353,-0.1364569374544407,-0.1526504057233399,-0.09215583355521897,-0.057284141651789425,-0.16860161852839628,-0.09674095470477571,0.033223372632553025,0.027757620134702773,-0.0608500438678813,-0.08694679546218415,-0.011733294194162299,-0.23965858348210584
IS,2,XLV,353,0.0984386526231247,-0.07007757631047111,0.020770132302038002,-0.1921991558160954,-0.04307018424510142,-0.10797909837317818,-0.08328377281238951,-0.30001265839360625,-0.14493096810521308,-0.24184079232814049,-0.3174591439433952,-0.24073209164676973
IS,3,XLE,353,0.013310820124146416,-0.07549764339690766,0.015962944732672273,-0.1981517516428466,-0.05063794284175649,-0.037723379570347174,-0.08635234202106531,-0.08712999345869302,0.00610794772519937,-0.2845986088861923,-0.11541372213516547,-0.0515215716486903
IS,4,XLY,353,-0.06040345355897284,-0.1116996839766562,0.03417657149591658,-0.07876849107583252,-0.08852527532006094,-0.06174758944901069,-0.0821068695792612,-0.11478871395085925,-0.021072951631841537,-0.18332463978140265,-0.12399524000750774,-0.11892287982819506
IS,5,XLP,353,-0.01835767164126986,-0.07927046185676812,-0.04128818797278009,-0.19131197702283315,-0.12798809019760188,-0.1034550867099962,-0.13442286455082345,-0.17933970108731237,-0.1709840700663911,-0.17282008275970442,-0.2731962334731577,-0.17492290383549328
IS,6,XLI,353,-0.1379486636664819,-0.12243231033143168,-0.05281551046063459,-0.17888274399053677,-0.16423829207715507,-0.1878448321016862,-0.09854586703448759,-0.10059003391576495,-0.06779197239597202,-0.25197432746827764,-0.1609656608336207,-0.26375727312011943
IS,7,XLB,353,-0.1170115715177414,-0.1577732357909532,-0.0069809403876960425,-0.24630424012536173,-0.1892219780267747,-0.04608037206947276,0.04267106291221622,-0.0466794632841111,-0.04491983744876625,-0.2221848169116139,-0.0633948174790591,-0.010542477640475433
IS,8,XLRE,353,-0.09590779233250546,-0.1844349773240156,-0.045237661339956436,-0.17866995202905323,-0.16524468893088953,-0.11367892202866035,-0.07579540543961728,-0.13279827976795858,-0.0883370362772101,-0.14026291265271917,-0.1268204625115126,-0.18684934765623296
IS,9,XLU,353,-0.1309925490076256,-0.20164248113244612,0.0026227973303884385,-0.2708113266432996,-0.22027541827260944,-0.10664996704452699,-0.24278880779757048,-0.3625202970794031,-0.15966653862774285,0.0021050035574451,-0.3353213922486982,-0.13969192088940494
IS,10,XLC,266,0.09587940595606038,0.009137641644922142,-0.07926441076190582,0.05227389015255969,0.06400748532344216,0.22837345643098633,0.21723345888571335,0.09952642896195332,-0.14369366281933368,0.07219543452653257,0.1300645083133953,0.3219820804927307
OOS,0,XLK,69,0.3585677749360614,0.2520643039824626,0.1345633905736208,0.27168432590427477,0.2267446108878334,0.12173913043478263,0.03642674461088784,-0.12056996711728171,0.0843624406284253,-0.23043478260869568,-0.15396419437340156,-0.24559736938253562
OOS,1,XLF,69,-0.011837778589696748,-0.2143587869930581,0.12583120204603582,-0.18333942272561202,-0.18892948483741326,0.007453416149068324,-0.24994519546949218,-0.24884910485933506,0.04683960540738035,-0.3520277676287907,-0.284873949579832,-0.0876141761052247
OOS,2,XLV,69,-0.2480453050785532,0.04519546949214469,0.020825721592985024,0.23134819145049323,-0.14647424187066133,-0.4774570697844356,-0.37932042382170267,-0.024625502374862992,0.1339788089148703,0.09462915601023018,-0.28677383997077094,-0.6400073072707345
OOS,3,XLE,69,-0.1801242236024845,-0.14742418706613084,-0.3110339788089149,0.060796492510047505,-0.2021921812203142,-0.0927292656192912,-0.1976616733649982,-0.14026306174643774,-0.12933869199853856,0.17113628059919622,-0.18169528681037633,-0.17818779685787361
OOS,4,XLY,69,0.1926927292656193,-0.009316770186335406,-0.15199123127511874,-0.06543660942637926,0.019693094629156013,-0.185239313116551,-0.08516624040920717,-0.19097552064303983,0.1009499451954695,-0.1890025575447571,-0.22597734746072343,-0.12590427475337962
OOS,5,XLP,69,-0.16430398246255024,-0.2591523565948119,0.24800876872488128,-0.036499817318231646,-0.26233101936426745,-0.14307636097917428,-0.1574716843259043,-0.35549872122762155,0.11052246985750823,-0.5451589331384729,-0.2838509316770187,-0.3440263061746438
OOS,6,XLI,69,-0.13934965290464013,-0.173876507124589,0.021118012422360253,-0.0056996711728169525,-0.13752283522104494,0.018195104128607968,-0.12700036536353673,-0.3694190719766168,-0.18797953964194375,-0.5059919620021922,-0.35970040189989044,-0.19196200219218124
OOS,7,XLB,69,-0.14271099744245525,-0.14161490683229816,0.08147606868834492,0.018998903909389842,-0.14062842528315675,-0.07007672634271102,-0.1614541468761418,-0.2392035074899525,0.02119108512970406,-0.17051516258677385,-0.28896602119108517,-0.1418706613080015
OOS,8,XLRE,69,-0.3058092802338327,-0.2770917062477165,-0.31633175009134096,-0.1504932407745707,-0.44490317866276946,-0.02966751918158568,0.014760686883449035,-0.21384727804165146,-0.14658385093167703,-0.2317500913408842,-0.21421264157837047,0.23017902813299237
OOS,9,XLU,69,-0.16558275484106688,-0.1533796127146511,0.05922542930215565,-0.05443916697113629,-0.2574351479722324,-0.132955791012057,-0.3116185604676654,-0.25798319327731095,-0.09967117281695288,0.004420898794300329,-0.30610157106320796,-0.02151991231275119
OOS,10,XLC,69,-0.16828644501278775,-0.1345633905736208,-0.20774570697844358,0.01070515162586774,-0.12531969309462918,-0.027731092436974795,-0.1154548776032152,-0.10021921812203144,-0.2768359517720132,-0.08122031421264157,-0.07055169894044576,0.3404457435147973
