etf,ticker,name,weight
XLK,AAPL,Apple Inc.,0.22
XLK,MSFT,Microsoft Corp.,0.21
XLK,NVDA,NVIDIA Corp.,0.12
XLK,AVGO,Broadcom Inc.,0.06
XLK,CRM,Salesforce Inc.,0.04
XLK,CSCO,Cisco Systems Inc.,0.04
XLF,BRK-B,Berkshire Hathaway B,0.13
XLF,JPM,JPMorgan Chase & Co.,0.10
XLF,V,Visa Inc.,0.08
XLF,MA,Mastercard Inc.,0.07
XLF,BAC,Bank of America Corp.,0.06
XLF,WFC,Wells Fargo & Co.,0.05
XLV,LLY,Eli Lilly & Co.,0.12
XLV,UNH,UnitedHealth Group Inc.,0.10
XLV,JNJ,Johnson & Johnson,0.09
XLV,ABBV,AbbVie Inc.,0.07
XLV,MRK,Merck & Co Inc.,0.06
XLV,TMO,Thermo Fisher Scientific,0.05
XLE,XOM,Exxon Mobil Corp.,0.22
XLE,CVX,Chevron Corp.,0.17
XLE,COP,ConocoPhillips,0.09
XLE,SLB,Schlumberger NV,0.06
XLE,EOG,EOG Resources Inc.,0.05
XLY,AMZN,Amazon.com Inc.,0.22
XLY,TSLA,Tesla Inc.,0.16
XLY,HD,Home Depot Inc.,0.10
XLY,MCD,McDonald's Corp.,0.07
XLY,NKE,Nike Inc.,0.05
XLP,PG,Procter & Gamble Co.,0.15
XLP,KO,Coca-Cola Co.,0.10
XLP,PEP,PepsiCo Inc.,0.09
XLP,COST,Costco Wholesale Corp.,0.08
XLP,WMT,Walmart Inc.,0.07
XLI,GE,GE Aerospace,0.08
XLI,CAT,Caterpillar Inc.,0.07
XLI,RTX,RTX Corp.,0.06
XLI,UNP,Union Pacific Corp.,0.06
XLI,HON,Honeywell International Inc.,0.06
XLB,LIN,Linde plc,0.08
XLB,SHW,Sherwin-Williams Co.,0.07
XLB,FCX,Freeport-McMoRan Inc.,0.06
XLB,NEM,Newmont Corp.,0.05
XLB,APD,Air Products & Chemicals,0.05
XLU,NEE,NextEra Energy Inc.,0.13
XLU,SO,Southern Co.,0.08
XLU,DUK,Duke Energy Corp.,0.07
XLU,CEG,Constellation Energy Corp.,0.06
XLU,AEP,American Electric Power,0.05
XLRE,PLD,Prologis Inc.,0.12
XLRE,AMT,American Tower Corp.,0.10
XLRE,EQX,Equinix Inc.,0.08
XLRE,WELL,Welltower Inc.,0.06
XLRE,O,Realty Income Corp.,0.05
XLC,META,Meta Platforms Inc.,0.22
XLC,GOOGL,Alphabet Inc. A,0.12
XLC,NFLX,Netflix Inc.,0.08
XLC,TMUS,T-Mobile US Inc.,0.06
XLC,CHTR,Charter Communications,0.05
