date,CPI,Core_CPI,PCE,Core_PCE,Inf_Expect_5Y,Breakeven_10Y
2000-01-01,169.3,179.3,6542.9,74.306,,
2000-02-01,170.0,179.4,6625.3,74.415,,
2000-03-01,171.0,180.0,6686.5,74.568,,
2000-04-01,170.9,180.3,6679.1,74.617,,
2000-05-01,171.2,180.7,6709.7,74.697,,
2000-06-01,172.2,181.1,6746.9,74.754,,
2000-07-01,172.7,181.5,6768.5,74.925,,
2000-08-01,172.7,181.9,6802.8,75.021,,
2000-09-01,173.6,182.3,6888.6,75.203,,
2000-10-01,173.9,182.6,6893.8,75.308,,
2000-11-01,174.2,183.1,6909.8,75.441,,
2000-12-01,174.6,183.3,6952.2,75.515,,
2001-01-01,175.6,183.9,6987.4,75.796,,
2001-02-01,176.0,184.4,7001.8,75.93,,
2001-03-01,176.1,184.7,6996.7,76.009,,
2001-04-01,176.4,185.1,7004.2,76.13,,
2001-05-01,177.3,185.3,7052.8,76.148,,
2001-06-01,177.7,186.0,7069.7,76.318,,
2001-07-01,177.4,186.4,7082.3,76.515,,
2001-08-01,177.4,186.7,7121.7,76.553,,
2001-09-01,178.1,187.1,7007.0,76.118,,
2001-10-01,177.6,187.4,7212.9,76.654,,
2001-11-01,177.5,188.1,7182.3,76.81,,
2001-12-01,177.4,188.4,7166.7,76.828,,
2002-01-01,177.7,188.7,7184.6,76.871,,
2002-02-01,178.0,189.1,7225.2,77.018,,
2002-03-01,178.5,189.2,7243.4,77.11,,
2002-04-01,179.3,189.7,7312.5,77.325,,
2002-05-01,179.5,190.0,7288.9,77.411,,
2002-06-01,179.6,190.2,7322.5,77.534,,
2002-07-01,180.0,190.5,7387.3,77.692,,
2002-08-01,180.5,191.1,7412.6,77.845,,
2002-09-01,180.8,191.3,7391.5,77.972,,
2002-10-01,181.2,191.5,7435.2,78.038,,
2002-11-01,181.5,191.9,7463.8,78.114,,
2002-12-01,181.8,192.1,7519.9,78.187,,
2003-01-01,182.6,192.4,7541.3,78.24,,
2003-02-01,183.6,192.5,7548.6,78.348,,
2003-03-01,183.9,192.5,7611.5,78.474,,
2003-04-01,183.2,192.5,7634.5,78.561,,
2003-05-01,182.9,192.9,7650.3,78.674,,
2003-06-01,183.1,193.0,7699.6,78.718,,
2003-07-01,183.7,193.4,7757.0,78.915,,
2003-08-01,184.5,193.6,7852.1,79.004,,
2003-09-01,185.1,193.7,7853.7,79.114,,
2003-10-01,184.9,194.0,7867.4,79.26,,
2003-11-01,185.0,194.0,7922.6,79.368,,
2003-12-01,185.5,194.2,7950.4,79.467,,
2004-01-01,186.3,194.6,8007.1,79.671,,
2004-02-01,186.7,194.9,8040.4,79.8,,
2004-03-01,187.1,195.5,8098.8,79.934,,
2004-04-01,187.4,195.9,8107.2,80.142,,
2004-05-01,188.2,196.2,8176.5,80.252,,
2004-06-01,188.9,196.6,8157.6,80.379,,
2004-07-01,189.1,196.8,8236.9,80.474,,
2004-08-01,189.2,196.9,8271.6,80.505,,
2004-09-01,189.8,197.5,8341.5,80.656,,
2004-10-01,190.8,197.9,8397.1,80.831,,
2004-11-01,191.7,198.3,8444.5,81.005,,
2004-12-01,191.7,198.6,8504.4,81.109,,
2005-01-01,191.6,199.0,8497.7,81.401,,
2005-02-01,192.4,199.4,8559.1,81.536,,
2005-03-01,193.1,200.1,8598.4,81.737,,
2005-04-01,193.7,200.2,8678.4,81.831,,
2005-05-01,193.6,200.5,8671.6,81.999,,
2005-06-01,193.7,200.6,8753.4,82.056,,
2005-07-01,194.9,200.9,8853.8,82.176,,
2005-08-01,196.1,201.1,8850.1,82.243,,
2005-09-01,198.8,201.3,8900.4,82.425,,
2005-10-01,199.1,202.0,8938.5,82.662,,
2005-11-01,198.1,202.5,8946.2,82.873,,
2005-12-01,198.1,202.8,8981.1,82.959,,
2006-01-01,199.3,203.2,9071.6,83.145,,
2006-02-01,199.4,203.6,9096.0,83.279,,
2006-03-01,199.7,204.3,9132.9,83.509,,
2006-04-01,200.7,204.8,9191.6,83.764,,
2006-05-01,201.3,205.4,9231.8,83.974,,
2006-06-01,201.8,205.9,9259.6,84.186,,
2006-07-01,202.9,206.3,9343.8,84.268,,
2006-08-01,203.8,206.8,9342.2,84.44,,
2006-09-01,202.8,207.2,9375.4,84.573,,
2006-10-01,201.9,207.6,9393.6,84.726,,
2006-11-01,202.0,207.8,9400.2,84.766,,
2006-12-01,203.1,208.1,9488.3,84.88,,
2007-01-01,203.437,208.6,9538.7,85.224,,
2007-02-01,204.226,209.135,9566.0,85.408,,
2007-03-01,205.288,209.418,9611.7,85.494,,
2007-04-01,205.904,209.747,9643.6,85.616,,
2007-05-01,206.755,210.058,9685.8,85.717,,
2007-06-01,207.234,210.392,9706.8,85.859,,
2007-07-01,207.603,210.773,9751.1,85.988,,
2007-08-01,207.667,211.119,9798.9,86.116,,
2007-09-01,208.547,211.554,9845.1,86.351,,
2007-10-01,209.19,212.077,9882.7,86.576,,
2007-11-01,210.834,212.66,9955.9,86.746,,
2007-12-01,211.445,213.168,9972.8,86.92,,
2008-01-01,212.174,213.771,9996.4,87.093,,
2008-02-01,212.687,213.939,9981.7,87.178,,
2008-03-01,213.448,214.42,10035.3,87.349,,
2008-04-01,213.942,214.56,10070.3,87.4,,
2008-05-01,215.208,214.936,10132.3,87.559,,
2008-06-01,217.463,215.424,10187.1,87.76,,
2008-07-01,219.016,215.965,10185.1,87.918,,
2008-08-01,218.69,216.393,10175.7,88.026,,
2008-09-01,218.877,216.713,10116.4,88.116,,
2008-10-01,216.995,216.788,10034.1,87.991,,
2008-11-01,213.153,216.947,9885.2,87.952,,
2008-12-01,211.398,216.925,9801.5,87.909,,
2009-01-01,211.933,217.346,9847.2,87.882,,
2009-02-01,212.705,217.792,9824.5,87.952,,
2009-03-01,212.495,218.253,9773.2,88.015,,
2009-04-01,212.709,218.706,9772.5,88.211,,
2009-05-01,213.022,218.904,9791.6,88.279,,
2009-06-01,214.79,219.112,9852.4,88.392,,
2009-07-01,214.726,219.263,9886.3,88.468,,
2009-08-01,215.445,219.496,10004.1,88.599,,
2009-09-01,215.861,219.92,9927.8,88.755,,
2009-10-01,216.509,220.501,9976.7,89.082,,
2009-11-01,217.234,220.666,9985.7,89.16,,
2009-12-01,217.347,220.881,10052.6,89.236,,
2010-01-01,217.488,220.633,10056.1,89.368,,
2010-02-01,217.281,220.731,10093.4,89.446,,
2010-03-01,217.353,220.783,10156.0,89.579,,
2010-04-01,217.403,220.822,10182.3,89.625,,
2010-05-01,217.29,220.962,10210.8,89.724,,
2010-06-01,217.199,221.194,10231.3,89.767,,
2010-07-01,217.605,221.363,10268.1,89.769,,
2010-08-01,217.923,221.509,10307.1,89.855,,
2010-09-01,218.275,221.711,10327.1,89.906,,
2010-10-01,219.035,221.83,10386.4,90.043,,
2010-11-01,219.59,222.149,10433.6,90.16,,
2010-12-01,220.472,222.343,10471.0,90.179,,
2011-01-01,221.187,222.803,10514.3,90.372,,
2011-02-01,221.898,223.213,10540.6,90.53,,
2011-03-01,223.046,223.454,10619.7,90.667,,
2011-04-01,224.093,223.727,10652.1,90.875,,
2011-05-01,224.806,224.175,10672.2,91.091,,
2011-06-01,224.806,224.697,10694.8,91.191,,
2011-07-01,225.395,225.218,10731.6,91.326,,
2011-08-01,226.106,225.862,10750.3,91.508,,
2011-09-01,226.597,226.118,10783.2,91.57,,
2011-10-01,226.75,226.506,10802.9,91.614,,
2011-11-01,227.169,226.899,10806.8,91.808,,
2011-12-01,227.223,227.405,10817.8,91.96,,
2012-01-01,227.842,227.877,10896.8,92.235,,
2012-02-01,228.329,228.034,10987.2,92.364,,
2012-03-01,228.807,228.478,10993.9,92.521,,
2012-04-01,229.187,228.905,11018.5,92.661,,
2012-05-01,228.713,229.224,11006.8,92.755,,
2012-06-01,228.524,229.623,10989.8,92.85,,
2012-07-01,228.59,229.97,11016.8,92.946,,
2012-08-01,229.918,230.233,11056.0,93.005,,
2012-09-01,231.015,230.659,11105.3,93.119,,
2012-10-01,231.638,231.024,11137.4,93.345,,
2012-11-01,231.249,231.33,11178.4,93.445,,
2012-12-01,231.221,231.725,11181.2,93.514,,
2013-01-01,231.679,232.229,11252.4,93.703,,
2013-02-01,232.937,232.569,11290.5,93.805,,
2013-03-01,232.282,232.794,11290.1,93.891,,
2013-04-01,231.797,232.832,11281.1,93.937,,
2013-05-01,231.893,232.996,11321.6,94.047,,
